order_id,user_id,session_id,order_timestamp,subtotal,discount_amount,shipping_fee,tax_amount,total_amount,order_status,shipping_method
ORD-2025-000018,4176,SES-2025-000971,2025-09-25 16:48:40,38.0,0.0,7.99,3.14,49.13,Delivered,Standard Ground
ORD-2025-000019,32,SES-2025-001040,2025-12-24 02:02:58,68.0,0.0,7.99,5.61,81.6,Delivered,Standard Ground
ORD-2025-000020,8126,SES-2025-001071,2025-11-17 06:08:54,44.0,0.0,7.99,3.63,55.62,Delivered,Standard Ground
ORD-2025-000021,5355,SES-2025-001144,2025-10-24 06:38:35,56.0,0.0,7.99,4.62,68.61,Delivered,Standard Ground
ORD-2025-000022,4826,SES-2025-001187,2025-03-13 05:52:50,24.0,2.4,7.99,1.98,31.57,Delivered,Standard Ground
ORD-2025-000023,1703,SES-2025-001224,2025-11-27 02:52:58,34.0,0.0,7.99,2.81,44.8,Delivered,Standard Ground
ORD-2025-000024,7574,SES-2025-001243,2025-12-24 22:14:11,22.0,0.0,7.99,1.82,31.81,Delivered,Standard Ground
ORD-2025-000025,5298,SES-2025-001435,2025-12-20 12:47:03,34.0,0.0,7.99,2.81,44.8,Delivered,Standard Ground
ORD-2025-000026,1059,SES-2025-001482,2025-10-24 09:59:01,44.0,0.0,7.99,3.63,55.62,Delivered,Standard Ground
ORD-2025-000027,7241,SES-2025-001502,2025-06-05 04:02:01,64.0,0.0,7.99,5.28,77.27,Delivered,Standard Ground
ORD-2025-000028,3868,SES-2025-001537,2025-04-27 12:11:43,149.99,0.0,0.0,12.37,162.36,Delivered,Free Standard
ORD-2025-000029,8591,SES-2025-001554,2025-10-02 17:23:37,255.0,0.0,0.0,21.04,276.04,Delivered,Free Standard
ORD-2025-000030,402,SES-2025-001566,2025-12-31 14:50:45,85.0,0.0,0.0,7.01,92.01,Delivered,Free Standard
ORD-2025-000031,8613,SES-2025-001567,2025-03-05 11:23:42,85.0,8.5,0.0,7.01,83.51,Delivered,Free Standard
ORD-2025-000032,716,SES-2025-001620,2025-11-09 19:31:46,29.0,0.0,7.99,2.39,39.38,Delivered,Standard Ground
ORD-2025-000033,488,SES-2025-001623,2025-02-28 16:53:22,79.99,0.0,0.0,6.6,86.59,Delivered,Free Standard
ORD-2025-000034,1861,SES-2025-001713,2025-09-07 19:02:32,145.0,0.0,0.0,11.96,156.96,Delivered,Free Standard
ORD-2025-000035,9348,SES-2025-001794,2025-12-16 09:26:40,49.99,0.0,7.99,4.12,62.1,Delivered,Standard Ground
ORD-2025-000036,8890,SES-2025-001807,2025-10-08 08:26:10,698.0,0.0,0.0,57.59,755.59,Processing,Free Standard
ORD-2025-000037,7939,SES-2025-001833,2025-09-02 08:34:50,98.0,0.0,0.0,8.09,106.09,Delivered,Free Standard
ORD-2025-000038,2702,SES-2025-001849,2025-06-09 22:23:57,26.0,0.0,7.99,2.15,36.14,Delivered,Standard Ground
ORD-2025-000039,886,SES-2025-001851,2025-09-09 16:14:26,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000040,4216,SES-2025-001897,2025-03-05 12:59:00,599.98,60.0,0.0,49.5,589.48,Delivered,Free Standard
ORD-2025-000041,6454,SES-2025-001938,2025-11-24 07:10:02,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000042,5270,SES-2025-001942,2025-12-10 09:57:00,42.0,0.0,7.99,3.47,53.46,Delivered,Standard Ground
ORD-2025-000043,1685,SES-2025-002141,2025-08-06 11:33:13,38.0,0.0,7.99,3.14,49.13,Delivered,Standard Ground
ORD-2025-000044,3546,SES-2025-002157,2025-12-31 04:19:45,48.0,0.0,7.99,3.96,59.95,Delivered,Standard Ground
ORD-2025-000045,756,SES-2025-002238,2025-12-29 14:31:16,34.0,0.0,7.99,2.81,44.8,Delivered,Standard Ground
ORD-2025-000046,8021,SES-2025-002272,2025-09-11 14:08:47,159.98,0.0,0.0,13.2,173.18,Delivered,Free Standard
ORD-2025-000047,5964,SES-2025-002273,2025-06-24 06:51:52,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000048,2711,SES-2025-002320,2025-07-06 11:50:32,42.0,0.0,7.99,3.47,53.46,Delivered,Standard Ground
ORD-2025-000049,7799,SES-2025-002340,2025-12-30 14:23:58,204.0,0.0,0.0,16.83,220.83,Delivered,Free Standard
ORD-2025-000050,7190,SES-2025-002395,2025-05-21 03:47:01,64.0,0.0,7.99,5.28,77.27,Delivered,Standard Ground
ORD-2025-000051,4447,SES-2025-002461,2025-01-17 15:20:04,145.0,0.0,0.0,11.96,156.96,Delivered,Free Standard
ORD-2025-000052,4702,SES-2025-002585,2025-07-01 17:41:28,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000053,4414,SES-2025-002588,2025-03-07 03:52:26,95.0,0.0,0.0,7.84,102.84,Delivered,Free Standard
ORD-2025-000054,75,SES-2025-002637,2025-12-04 00:05:31,145.0,0.0,0.0,11.96,156.96,Delivered,Free Standard
ORD-2025-000055,3080,SES-2025-002669,2025-12-26 07:37:50,49.0,0.0,7.99,4.04,61.03,Delivered,Standard Ground
ORD-2025-000056,7209,SES-2025-002670,2025-12-28 00:51:06,24.0,0.0,7.99,1.98,33.97,Delivered,Standard Ground
ORD-2025-000057,3822,SES-2025-002715,2025-10-11 19:47:37,139.98,0.0,0.0,11.55,151.53,Delivered,Free Standard
ORD-2025-000058,8830,SES-2025-002762,2025-11-22 10:05:41,39.99,0.0,7.99,3.3,51.28,Delivered,Standard Ground
ORD-2025-000059,6824,SES-2025-002811,2025-01-25 19:26:32,32.0,3.2,7.99,2.64,39.43,Delivered,Standard Ground
ORD-2025-000060,4207,SES-2025-002908,2025-12-28 19:09:35,110.0,0.0,0.0,9.08,119.08,Delivered,Free Standard
ORD-2025-000061,880,SES-2025-002914,2025-03-19 06:34:48,110.0,11.0,0.0,9.08,108.08,Delivered,Free Standard
ORD-2025-000062,9088,SES-2025-002928,2025-09-25 16:40:42,74.0,0.0,7.99,6.11,88.1,Delivered,Standard Ground
ORD-2025-000063,4237,SES-2025-003078,2025-01-03 04:53:56,42.0,0.0,7.99,3.47,53.46,Delivered,Standard Ground
ORD-2025-000064,310,SES-2025-003115,2025-05-04 01:18:39,25.0,0.0,7.99,2.06,35.05,Delivered,Standard Ground
ORD-2025-000065,2328,SES-2025-003117,2025-08-02 19:28:15,158.0,0.0,0.0,13.04,171.04,Delivered,Free Standard
ORD-2025-000066,9258,SES-2025-003142,2025-12-27 15:42:35,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000067,8252,SES-2025-003155,2025-09-28 03:53:23,79.99,0.0,0.0,6.6,86.59,Delivered,Free Standard
ORD-2025-000068,497,SES-2025-003158,2025-07-27 10:15:18,32.0,3.2,7.99,2.64,39.43,Delivered,Standard Ground
ORD-2025-000069,7172,SES-2025-003159,2025-09-28 06:33:43,68.0,0.0,7.99,5.61,81.6,Delivered,Standard Ground
ORD-2025-000070,6946,SES-2025-003175,2025-12-17 04:16:52,22.0,0.0,7.99,1.82,31.81,Processing,Standard Ground
ORD-2025-000071,8551,SES-2025-003235,2025-11-29 04:34:14,32.0,0.0,7.99,2.64,42.63,Delivered,Standard Ground
ORD-2025-000072,2048,SES-2025-003251,2025-12-09 05:39:41,52.0,5.2,7.99,4.29,59.08,Delivered,Standard Ground
ORD-2025-000073,2513,SES-2025-003254,2025-09-01 18:23:11,145.0,0.0,0.0,11.96,156.96,Delivered,Free Standard
ORD-2025-000074,9010,SES-2025-003264,2025-07-07 10:57:21,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000075,5345,SES-2025-003325,2025-07-08 22:27:16,69.99,0.0,7.99,5.77,83.75,Delivered,Standard Ground
ORD-2025-000076,3348,SES-2025-003354,2025-08-04 10:07:20,32.0,0.0,7.99,2.64,42.63,Delivered,Standard Ground
ORD-2025-000077,4789,SES-2025-003356,2025-06-18 06:55:33,74.0,0.0,7.99,6.11,88.1,Delivered,Standard Ground
ORD-2025-000078,7693,SES-2025-003468,2025-03-08 10:29:26,220.0,0.0,0.0,18.15,238.15,Delivered,Free Standard
ORD-2025-000079,3269,SES-2025-003559,2025-07-22 06:47:20,89.0,0.0,0.0,7.34,96.34,Delivered,Free Standard
ORD-2025-000080,6521,SES-2025-003564,2025-03-04 02:11:59,89.99,0.0,0.0,7.42,97.41,Delivered,Free Standard
ORD-2025-000081,6569,SES-2025-003625,2025-05-07 01:21:43,64.0,0.0,7.99,5.28,77.27,Delivered,Standard Ground
ORD-2025-000082,7754,SES-2025-003632,2025-08-28 20:50:37,32.0,0.0,7.99,2.64,42.63,Delivered,Standard Ground
ORD-2025-000083,9551,SES-2025-003655,2025-11-13 04:49:08,79.99,0.0,0.0,6.6,86.59,Delivered,Free Standard
ORD-2025-000084,8731,SES-2025-003706,2025-09-11 05:30:20,28.0,0.0,7.99,2.31,38.3,Delivered,Standard Ground
ORD-2025-000085,8055,SES-2025-003719,2025-11-29 00:05:01,79.99,8.0,0.0,6.6,78.59,Delivered,Free Standard
ORD-2025-000086,6959,SES-2025-003856,2025-10-15 08:31:44,25.0,0.0,7.99,2.06,35.05,Delivered,Standard Ground
ORD-2025-000087,4682,SES-2025-003904,2025-12-23 21:49:03,54.99,0.0,7.99,4.54,67.52,Delivered,Standard Ground
ORD-2025-000088,2776,SES-2025-003920,2025-12-05 02:12:24,145.0,0.0,0.0,11.96,156.96,Delivered,Free Standard
ORD-2025-000089,6023,SES-2025-004009,2025-12-17 03:52:59,85.0,0.0,0.0,7.01,92.01,Delivered,Free Standard
ORD-2025-000090,612,SES-2025-004040,2025-11-03 06:30:23,136.0,0.0,0.0,11.22,147.22,Delivered,Free Standard
ORD-2025-000091,9274,SES-2025-004127,2025-09-28 19:43:40,26.0,0.0,7.99,2.15,36.14,Delivered,Standard Ground
ORD-2025-000092,2416,SES-2025-004141,2025-09-18 17:07:41,79.99,0.0,0.0,6.6,86.59,Delivered,Free Standard
ORD-2025-000093,6984,SES-2025-004162,2025-05-01 18:32:36,76.0,0.0,0.0,6.27,82.27,Delivered,Free Standard
ORD-2025-000094,9469,SES-2025-004216,2025-03-24 09:56:12,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000095,876,SES-2025-004217,2025-04-04 02:46:38,34.0,0.0,7.99,2.81,44.8,Delivered,Standard Ground
ORD-2025-000096,981,SES-2025-004258,2025-10-25 04:54:11,56.0,0.0,7.99,4.62,68.61,Delivered,Standard Ground
ORD-2025-000097,1803,SES-2025-004261,2025-12-09 18:52:16,159.98,0.0,0.0,13.2,173.18,Delivered,Free Standard
ORD-2025-000098,3023,SES-2025-004267,2025-11-21 11:37:30,25.0,0.0,7.99,2.06,35.05,Delivered,Standard Ground
ORD-2025-000099,2362,SES-2025-004297,2025-10-23 05:36:45,49.99,0.0,7.99,4.12,62.1,Delivered,Standard Ground
ORD-2025-000100,465,SES-2025-004302,2025-10-17 19:17:49,64.0,0.0,7.99,5.28,77.27,Delivered,Standard Ground
ORD-2025-000101,3108,SES-2025-004310,2025-12-04 03:08:41,26.0,0.0,7.99,2.15,36.14,Delivered,Standard Ground
ORD-2025-000102,1609,SES-2025-004315,2025-09-05 13:04:07,75.0,0.0,0.0,6.19,81.19,Delivered,Free Standard
ORD-2025-000103,2986,SES-2025-004363,2025-10-18 08:13:41,68.0,0.0,7.99,5.61,81.6,Delivered,Standard Ground
ORD-2025-000104,9715,SES-2025-004412,2025-05-11 08:40:41,299.98,0.0,0.0,24.75,324.73,Delivered,Free Standard
ORD-2025-000105,4959,SES-2025-004413,2025-08-06 17:39:55,32.0,0.0,7.99,2.64,42.63,Delivered,Standard Ground
ORD-2025-000106,8614,SES-2025-004424,2025-08-02 03:12:51,89.0,0.0,0.0,7.34,96.34,Delivered,Free Standard
ORD-2025-000107,3931,SES-2025-004455,2025-12-17 10:33:26,49.99,0.0,7.99,4.12,62.1,Delivered,Standard Ground
ORD-2025-000108,8298,SES-2025-004575,2025-02-19 21:35:01,64.0,0.0,7.99,5.28,77.27,Delivered,Standard Ground
ORD-2025-000109,4100,SES-2025-004578,2025-02-11 09:14:31,89.99,0.0,0.0,7.42,97.41,Delivered,Free Standard
ORD-2025-000110,1033,SES-2025-004674,2025-04-21 15:55:47,42.0,4.2,7.99,3.47,49.26,Delivered,Standard Ground
ORD-2025-000111,2280,SES-2025-004712,2025-11-23 03:30:46,69.99,0.0,7.99,5.77,83.75,Delivered,Standard Ground
ORD-2025-000112,2171,SES-2025-004715,2025-04-15 17:15:54,32.0,0.0,7.99,2.64,42.63,Delivered,Standard Ground
ORD-2025-000113,1994,SES-2025-004720,2025-09-16 16:38:23,79.99,8.0,0.0,6.6,78.59,Delivered,Free Standard
ORD-2025-000114,565,SES-2025-004763,2025-10-25 07:36:00,34.0,0.0,7.99,2.81,44.8,Delivered,Standard Ground
ORD-2025-000115,9181,SES-2025-004803,2025-09-05 07:36:14,170.0,0.0,0.0,14.03,184.03,Delivered,Free Standard
ORD-2025-000116,4631,SES-2025-004844,2025-11-11 10:49:08,110.0,0.0,0.0,9.08,119.08,Delivered,Free Standard
ORD-2025-000117,449,SES-2025-004845,2025-06-17 11:43:45,42.0,0.0,7.99,3.47,53.46,Delivered,Standard Ground
ORD-2025-000118,4261,SES-2025-004871,2025-01-29 04:09:24,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000119,202,SES-2025-004877,2025-03-26 20:40:33,84.0,0.0,0.0,6.93,90.93,Delivered,Free Standard
ORD-2025-000120,8341,SES-2025-004888,2025-10-31 12:23:24,349.0,0.0,0.0,28.79,377.79,Delivered,Free Standard
ORD-2025-000121,8410,SES-2025-004916,2025-10-10 20:05:56,299.99,0.0,0.0,24.75,324.74,Processing,Free Standard
ORD-2025-000122,1831,SES-2025-004991,2025-12-26 10:16:18,44.0,0.0,7.99,3.63,55.62,Delivered,Standard Ground
ORD-2025-000123,773,SES-2025-004998,2025-10-10 02:11:22,149.99,0.0,0.0,12.37,162.36,Delivered,Free Standard
ORD-2025-000124,8551,SES-2025-005010,2025-02-18 13:25:10,50.0,5.0,7.99,4.12,57.11,Delivered,Standard Ground
ORD-2025-000125,828,SES-2025-005016,2025-09-19 02:54:33,25.0,2.5,7.99,2.06,32.55,Delivered,Standard Ground
ORD-2025-000126,6324,SES-2025-005075,2025-12-30 22:52:17,88.0,0.0,0.0,7.26,95.26,Delivered,Free Standard
ORD-2025-000127,4229,SES-2025-005085,2025-03-29 04:12:03,26.0,0.0,7.99,2.15,36.14,Delivered,Standard Ground
ORD-2025-000128,6003,SES-2025-005104,2025-05-06 15:49:25,79.99,0.0,0.0,6.6,86.59,Delivered,Free Standard
ORD-2025-000129,8116,SES-2025-005135,2025-07-21 23:25:02,68.0,0.0,7.99,5.61,81.6,Processing,Standard Ground
ORD-2025-000130,1262,SES-2025-005183,2025-12-23 14:15:48,44.0,0.0,7.99,3.63,55.62,Delivered,Standard Ground
ORD-2025-000131,7804,SES-2025-005195,2025-03-10 12:33:58,69.99,0.0,7.99,5.77,83.75,Delivered,Standard Ground
ORD-2025-000132,5902,SES-2025-005202,2025-03-24 16:57:00,44.0,0.0,7.99,3.63,55.62,Delivered,Standard Ground
ORD-2025-000133,6531,SES-2025-005208,2025-11-15 22:52:51,24.0,0.0,7.99,1.98,33.97,Delivered,Standard Ground
ORD-2025-000134,6805,SES-2025-005219,2025-11-05 22:58:10,79.99,0.0,0.0,6.6,86.59,Delivered,Free Standard
ORD-2025-000135,6645,SES-2025-005233,2025-11-04 13:48:20,119.97,0.0,0.0,9.9,129.87,Delivered,Free Standard
ORD-2025-000136,2883,SES-2025-005237,2025-11-18 09:54:57,299.99,0.0,0.0,24.75,324.74,Delivered,Free Standard
ORD-2025-000137,5036,SES-2025-005258,2025-05-22 03:16:19,79.0,0.0,0.0,6.52,85.52,Processing,Free Standard
ORD-2025-000138,7260,SES-2025-005276,2025-10-07 22:41:52,69.99,0.0,7.99,5.77,83.75,Delivered,Standard Ground
ORD-2025-000139,510,SES-2025-005279,2025-11-14 03:37:24,39.99,0.0,7.99,3.3,51.28,Delivered,Standard Ground
ORD-2025-000140,9419,SES-2025-005281,2025-07-06 14:48:03,158.0,15.8,0.0,13.04,155.24,Processing,Free Standard
ORD-2025-000141,6771,SES-2025-005288,2025-12-16 13:54:08,74.0,0.0,7.99,6.11,88.1,Delivered,Standard Ground
ORD-2025-000142,758,SES-2025-005316,2025-10-25 15:56:39,84.0,0.0,0.0,6.93,90.93,Processing,Free Standard
ORD-2025-000143,5753,SES-2025-005466,2025-12-26 16:17:10,42.0,0.0,7.99,3.47,53.46,Delivered,Standard Ground
ORD-2025-000144,5610,SES-2025-005482,2025-08-10 09:29:13,39.99,0.0,7.99,3.3,51.28,Delivered,Standard Ground
ORD-2025-000145,1407,SES-2025-005491,2025-12-12 20:21:52,109.98,0.0,0.0,9.07,119.05,Delivered,Free Standard
ORD-2025-000146,6511,SES-2025-005528,2025-08-30 18:56:49,38.0,0.0,7.99,3.14,49.13,Delivered,Standard Ground
ORD-2025-000147,7315,SES-2025-005540,2025-12-11 18:11:44,34.0,0.0,7.99,2.81,44.8,Delivered,Standard Ground
ORD-2025-000148,9794,SES-2025-005557,2025-10-22 04:48:52,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000149,7629,SES-2025-005601,2025-12-05 13:55:51,158.0,0.0,0.0,13.04,171.04,Delivered,Free Standard
ORD-2025-000150,6439,SES-2025-005691,2025-09-12 06:46:33,44.0,0.0,7.99,3.63,55.62,Delivered,Standard Ground
ORD-2025-000151,7773,SES-2025-005740,2025-11-06 23:54:44,79.99,0.0,0.0,6.6,86.59,Delivered,Free Standard
ORD-2025-000152,2814,SES-2025-005752,2025-06-04 08:01:41,79.99,0.0,0.0,6.6,86.59,Processing,Free Standard
ORD-2025-000153,6286,SES-2025-005766,2025-07-31 00:36:59,148.0,0.0,0.0,12.21,160.21,Delivered,Free Standard
ORD-2025-000154,1783,SES-2025-005768,2025-10-05 10:20:34,149.99,0.0,0.0,12.37,162.36,Delivered,Free Standard
ORD-2025-000155,149,SES-2025-005886,2025-07-19 12:45:22,25.0,0.0,7.99,2.06,35.05,Delivered,Standard Ground
ORD-2025-000156,4131,SES-2025-006083,2025-08-14 08:31:08,48.0,4.8,7.99,3.96,55.15,Delivered,Standard Ground
ORD-2025-000157,7535,SES-2025-006164,2025-11-19 20:01:28,22.0,0.0,7.99,1.82,31.81,Delivered,Standard Ground
ORD-2025-000158,2612,SES-2025-006184,2025-05-26 15:05:00,39.99,0.0,7.99,3.3,51.28,Delivered,Standard Ground
ORD-2025-000159,1943,SES-2025-006217,2025-04-06 13:44:22,22.0,0.0,7.99,1.82,31.81,Delivered,Standard Ground
ORD-2025-000160,1782,SES-2025-006238,2025-05-21 13:24:38,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000161,3535,SES-2025-006242,2025-05-24 08:18:42,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000162,8455,SES-2025-006290,2025-12-18 05:15:37,145.0,14.5,0.0,11.96,142.46,Delivered,Free Standard
ORD-2025-000163,8771,SES-2025-006393,2025-08-13 03:33:25,48.0,0.0,7.99,3.96,59.95,Delivered,Standard Ground
ORD-2025-000164,2674,SES-2025-006420,2025-10-06 07:16:48,69.99,7.0,7.99,5.77,76.75,Delivered,Standard Ground
ORD-2025-000165,6211,SES-2025-006493,2025-06-12 15:38:40,79.99,0.0,0.0,6.6,86.59,Delivered,Free Standard
ORD-2025-000166,437,SES-2025-006494,2025-11-05 13:44:22,64.0,0.0,7.99,5.28,77.27,Delivered,Standard Ground
ORD-2025-000167,2453,SES-2025-006499,2025-11-24 07:32:09,22.0,0.0,7.99,1.82,31.81,Delivered,Standard Ground
ORD-2025-000168,3297,SES-2025-006514,2025-12-15 19:21:19,38.0,0.0,7.99,3.14,49.13,Delivered,Standard Ground
ORD-2025-000169,4241,SES-2025-006521,2025-12-28 14:16:16,50.0,5.0,7.99,4.12,57.11,Delivered,Standard Ground
ORD-2025-000170,2978,SES-2025-006556,2025-05-04 05:34:20,22.0,2.2,7.99,1.82,29.61,Delivered,Standard Ground
ORD-2025-000171,3572,SES-2025-006606,2025-04-23 04:44:50,95.0,0.0,0.0,7.84,102.84,Delivered,Free Standard
ORD-2025-000172,806,SES-2025-006706,2025-10-05 01:31:34,147.0,0.0,0.0,12.13,159.13,Delivered,Free Standard
ORD-2025-000173,9454,SES-2025-006761,2025-11-14 13:24:55,48.0,4.8,7.99,3.96,55.15,Delivered,Standard Ground
ORD-2025-000174,1260,SES-2025-006783,2025-12-12 14:35:18,64.0,0.0,7.99,5.28,77.27,Delivered,Standard Ground
ORD-2025-000175,3864,SES-2025-006794,2025-11-29 03:03:09,28.0,2.8,7.99,2.31,35.5,Delivered,Standard Ground
ORD-2025-000176,9354,SES-2025-006810,2025-02-21 23:20:14,42.0,0.0,7.99,3.47,53.46,Delivered,Standard Ground
ORD-2025-000177,826,SES-2025-006865,2025-10-18 11:00:41,34.0,0.0,7.99,2.81,44.8,Delivered,Standard Ground
ORD-2025-000178,6063,SES-2025-006890,2025-12-12 04:32:42,74.0,0.0,7.99,6.11,88.1,Delivered,Standard Ground
ORD-2025-000179,5706,SES-2025-006897,2025-01-05 23:21:58,32.0,0.0,7.99,2.64,42.63,Delivered,Standard Ground
ORD-2025-000180,2713,SES-2025-006916,2025-09-28 01:56:17,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000181,558,SES-2025-006919,2025-12-14 07:13:44,114.0,0.0,0.0,9.41,123.41,Delivered,Free Standard
ORD-2025-000182,4573,SES-2025-006922,2025-02-22 06:17:25,22.0,0.0,7.99,1.82,31.81,Delivered,Standard Ground
ORD-2025-000183,8821,SES-2025-006923,2025-06-03 20:41:10,49.0,0.0,7.99,4.04,61.03,Delivered,Standard Ground
ORD-2025-000184,6594,SES-2025-006969,2025-08-08 07:19:35,48.0,0.0,7.99,3.96,59.95,Delivered,Standard Ground
ORD-2025-000185,796,SES-2025-006992,2025-04-15 04:06:52,89.0,0.0,0.0,7.34,96.34,Delivered,Free Standard
ORD-2025-000186,3644,SES-2025-007039,2025-12-11 12:16:20,89.99,0.0,0.0,7.42,97.41,Delivered,Free Standard
ORD-2025-000187,8607,SES-2025-007110,2025-12-30 17:55:06,54.99,0.0,7.99,4.54,67.52,Delivered,Standard Ground
ORD-2025-000188,2094,SES-2025-007122,2025-12-29 21:08:57,69.99,0.0,7.99,5.77,83.75,Delivered,Standard Ground
ORD-2025-000189,2279,SES-2025-007127,2025-01-16 01:44:04,48.0,4.8,7.99,3.96,55.15,Processing,Standard Ground
ORD-2025-000190,5126,SES-2025-007139,2025-09-07 06:49:27,38.0,0.0,7.99,3.14,49.13,Delivered,Standard Ground
ORD-2025-000191,5580,SES-2025-007254,2025-11-23 23:55:25,49.0,4.9,7.99,4.04,56.13,Delivered,Standard Ground
ORD-2025-000192,4629,SES-2025-007272,2025-06-17 06:06:54,139.98,0.0,0.0,11.55,151.53,Delivered,Free Standard
ORD-2025-000193,3415,SES-2025-007296,2025-09-16 14:48:48,64.0,0.0,7.99,5.28,77.27,Delivered,Standard Ground
ORD-2025-000194,6068,SES-2025-007310,2025-12-12 21:15:20,95.0,0.0,0.0,7.84,102.84,Delivered,Free Standard
ORD-2025-000195,8481,SES-2025-007316,2025-11-12 15:10:55,84.0,0.0,0.0,6.93,90.93,Delivered,Free Standard
ORD-2025-000196,6995,SES-2025-007322,2025-05-05 23:07:17,44.0,0.0,7.99,3.63,55.62,Delivered,Standard Ground
ORD-2025-000197,6789,SES-2025-007403,2025-05-12 15:50:46,299.99,0.0,0.0,24.75,324.74,Delivered,Free Standard
ORD-2025-000198,4299,SES-2025-007479,2025-11-11 06:37:19,126.0,0.0,0.0,10.4,136.4,Delivered,Free Standard
ORD-2025-000199,5871,SES-2025-007492,2025-12-28 13:30:18,48.0,4.8,7.99,3.96,55.15,Delivered,Standard Ground
ORD-2025-000200,4446,SES-2025-007501,2025-12-24 11:38:30,28.0,0.0,7.99,2.31,38.3,Delivered,Standard Ground
ORD-2025-000201,619,SES-2025-007530,2025-12-26 21:06:31,42.0,0.0,7.99,3.47,53.46,Delivered,Standard Ground
ORD-2025-000202,9169,SES-2025-007695,2025-12-21 12:49:23,85.0,0.0,0.0,7.01,92.01,Delivered,Free Standard
ORD-2025-000203,8682,SES-2025-007752,2025-09-06 18:01:01,24.0,0.0,7.99,1.98,33.97,Delivered,Standard Ground
ORD-2025-000204,6848,SES-2025-007768,2025-01-30 02:33:10,149.99,0.0,0.0,12.37,162.36,Delivered,Free Standard
ORD-2025-000205,2158,SES-2025-007774,2025-12-13 04:50:58,29.0,0.0,7.99,2.39,39.38,Delivered,Standard Ground
ORD-2025-000206,5649,SES-2025-007791,2025-07-28 23:09:33,68.0,0.0,7.99,5.61,81.6,Delivered,Standard Ground
ORD-2025-000207,2214,SES-2025-007794,2025-10-19 18:24:04,28.0,0.0,7.99,2.31,38.3,Delivered,Standard Ground
ORD-2025-000208,988,SES-2025-007854,2025-12-08 23:45:23,267.0,0.0,0.0,22.03,289.03,Delivered,Free Standard
ORD-2025-000209,651,SES-2025-007878,2025-12-18 11:21:42,42.0,4.2,7.99,3.47,49.26,Delivered,Standard Ground
