session_id,user_id,session_start,device_type,traffic_source,page_views,duration_seconds,is_bounced,has_converted
SES-2025-000040,,2025-09-27 16:23:54,Mobile,Organic Search,1,5,1,0
SES-2025-000041,,2025-07-26 22:28:09,Mobile,Paid Social,2,39,0,0
SES-2025-000042,,2025-12-09 02:59:22,Mobile,Paid Social,3,79,0,0
SES-2025-000043,4455.0,2025-04-23 18:30:01,Mobile,Paid Social,2,53,0,0
SES-2025-000044,5217.0,2025-12-24 09:50:13,Desktop,Email,4,127,0,0
SES-2025-000045,,2025-09-14 20:35:48,Desktop,Email,3,65,0,0
SES-2025-000046,,2025-10-12 20:37:34,Tablet,Organic Search,1,8,1,0
SES-2025-000047,599.0,2025-12-22 03:42:40,Desktop,Affiliate,3,107,0,0
SES-2025-000048,5488.0,2025-08-29 02:44:54,Mobile,Paid Search,2,42,0,0
SES-2025-000049,9473.0,2025-09-09 06:01:51,Mobile,Affiliate,1,4,1,0
SES-2025-000050,,2025-07-18 09:51:42,Mobile,Paid Search,1,14,1,0
SES-2025-000051,8206.0,2025-12-25 17:29:12,Mobile,Paid Search,2,33,0,0
SES-2025-000052,8494.0,2025-11-05 08:14:25,Tablet,Organic Search,1,15,1,0
SES-2025-000053,9868.0,2025-10-03 11:36:28,Mobile,Direct,4,122,0,0
SES-2025-000054,5249.0,2025-12-23 11:39:22,Desktop,Direct,3,92,0,0
SES-2025-000055,,2025-01-27 20:42:22,Mobile,Direct,1,11,1,0
SES-2025-000056,8398.0,2025-11-23 03:53:23,Mobile,Organic Search,3,109,0,0
SES-2025-000057,2247.0,2025-08-28 21:08:36,Mobile,Direct,1,9,1,0
SES-2025-000058,6402.0,2025-10-20 08:51:05,Mobile,Organic Search,1,3,1,0
SES-2025-000059,8877.0,2025-12-16 21:08:40,Desktop,Paid Social,2,56,0,0
SES-2025-000060,6439.0,2025-11-29 19:25:27,Mobile,Paid Search,3,132,0,0
SES-2025-000061,4668.0,2025-09-02 15:46:37,Desktop,Organic Search,4,148,0,0
SES-2025-000062,1858.0,2025-10-28 19:29:08,Mobile,Paid Search,1,8,1,0
SES-2025-000063,953.0,2025-08-01 10:49:58,Mobile,Organic Search,2,59,0,0
SES-2025-000064,7307.0,2025-07-07 05:07:44,Desktop,Email,1,10,1,0
SES-2025-000065,7330.0,2025-12-10 08:20:14,Desktop,Paid Search,3,76,0,0
SES-2025-000066,395.0,2025-12-24 16:45:22,Mobile,Organic Search,1,18,1,0
SES-2025-000067,,2025-01-04 20:06:34,Desktop,Organic Search,3,114,0,0
SES-2025-000068,3217.0,2025-11-25 05:16:30,Mobile,Direct,1,7,1,0
SES-2025-000069,,2025-10-15 08:09:54,Mobile,Paid Search,3,75,0,0
SES-2025-000070,,2025-07-27 02:33:15,Mobile,Email,3,104,0,0
SES-2025-000071,8276.0,2025-12-02 20:05:21,Mobile,Direct,2,58,0,0
SES-2025-000072,,2025-10-24 06:42:48,Mobile,Organic Search,3,124,0,0
SES-2025-000073,2412.0,2025-11-20 18:09:00,Desktop,Organic Search,4,149,0,0
SES-2025-000074,,2025-09-12 10:55:21,Tablet,Direct,4,118,0,0
SES-2025-000075,5559.0,2025-05-08 18:37:45,Mobile,Organic Search,3,77,0,0
SES-2025-000076,9565.0,2025-06-24 20:15:45,Desktop,Organic Search,1,5,1,0
SES-2025-000077,1123.0,2025-11-21 18:24:43,Mobile,Paid Search,3,75,0,0
SES-2025-000078,,2025-03-20 10:57:08,Mobile,Organic Search,3,101,0,0
SES-2025-000079,1086.0,2025-12-28 14:52:36,Mobile,Paid Social,3,141,0,0
SES-2025-000080,,2025-10-16 15:11:02,Mobile,Email,2,63,0,0
SES-2025-000081,952.0,2025-10-11 22:51:19,Mobile,Paid Social,1,7,1,0
SES-2025-000082,9705.0,2025-11-29 20:54:30,Mobile,Direct,1,18,1,0
SES-2025-000083,2639.0,2025-11-14 18:25:40,Mobile,Organic Search,3,70,0,0
SES-2025-000084,,2025-05-21 15:15:07,Mobile,Direct,1,12,1,0
SES-2025-000085,9616.0,2025-12-26 21:29:32,Desktop,Organic Search,4,81,0,0
SES-2025-000086,2079.0,2025-11-22 23:29:16,Mobile,Email,3,68,0,0
SES-2025-000087,,2025-12-16 02:41:26,Mobile,Paid Search,4,103,0,0
SES-2025-000088,1355.0,2025-12-04 15:11:16,Desktop,Email,4,125,0,0
SES-2025-000089,,2025-06-05 21:17:44,Desktop,Paid Social,4,138,0,0
SES-2025-000090,3778.0,2025-05-16 14:59:35,Desktop,Organic Search,2,52,0,0
SES-2025-000091,8414.0,2025-10-30 20:49:46,Mobile,Paid Social,1,7,1,0
SES-2025-000092,8772.0,2025-11-20 00:28:30,Desktop,Paid Search,3,70,0,0
SES-2025-000093,2887.0,2025-11-17 05:47:40,Desktop,Direct,4,113,0,0
SES-2025-000094,8913.0,2025-08-09 21:00:06,Tablet,Paid Search,3,65,0,0
SES-2025-000095,1246.0,2025-11-03 15:02:25,Desktop,Email,3,63,0,0
SES-2025-000096,,2025-10-29 18:26:20,Desktop,Organic Search,1,17,1,0
SES-2025-000097,,2025-12-18 23:44:22,Mobile,Organic Search,2,57,0,0
SES-2025-000098,,2025-08-14 08:47:46,Mobile,Paid Search,3,99,0,0
SES-2025-000099,,2025-06-14 07:21:22,Mobile,Affiliate,1,15,1,0
SES-2025-000100,3030.0,2025-11-02 01:38:57,Mobile,Organic Search,3,95,0,0
SES-2025-000101,,2025-02-12 19:24:26,Mobile,Organic Search,1,7,1,0
SES-2025-000102,4381.0,2025-04-20 19:33:02,Mobile,Direct,4,118,0,0
SES-2025-000103,,2025-06-09 06:35:56,Mobile,Direct,1,12,1,0
SES-2025-000104,3810.0,2025-09-02 01:20:02,Mobile,Paid Search,3,114,0,0
SES-2025-000105,6041.0,2025-12-11 23:25:40,Desktop,Paid Social,2,55,0,0
SES-2025-000106,,2025-04-07 08:24:42,Mobile,Organic Search,3,139,0,0
SES-2025-000107,4770.0,2025-12-06 03:07:54,Desktop,Email,2,35,0,0
SES-2025-000108,3725.0,2025-12-17 01:44:13,Mobile,Paid Social,3,79,0,0
SES-2025-000109,,2025-08-28 19:34:22,Desktop,Organic Search,4,111,0,0
SES-2025-000110,,2025-01-11 18:44:33,Mobile,Organic Search,1,6,1,0
SES-2025-000111,,2025-02-11 08:28:58,Desktop,Paid Search,3,65,0,0
SES-2025-000112,,2025-03-04 11:11:54,Mobile,Direct,3,136,0,0
SES-2025-000113,862.0,2025-07-03 17:58:24,Mobile,Organic Search,1,7,1,0
SES-2025-000114,5115.0,2025-10-06 01:32:27,Desktop,Organic Search,3,86,0,0
SES-2025-000115,9171.0,2025-12-30 18:06:04,Mobile,Paid Social,1,3,1,0
SES-2025-000116,8264.0,2025-10-07 20:28:44,Mobile,Paid Search,1,13,1,0
SES-2025-000117,,2025-02-17 09:13:01,Mobile,Paid Search,3,99,0,0
SES-2025-000118,1494.0,2025-11-14 13:06:12,Desktop,Email,1,9,1,0
SES-2025-000119,,2025-03-15 10:47:02,Desktop,Direct,3,81,0,0
SES-2025-000120,2766.0,2025-12-02 20:07:57,Mobile,Paid Social,4,180,0,0
SES-2025-000121,9148.0,2025-09-05 02:41:50,Desktop,Paid Search,1,9,1,0
SES-2025-000122,7026.0,2025-10-22 16:14:29,Mobile,Paid Search,3,100,0,0
SES-2025-000123,7416.0,2025-12-11 20:56:45,Mobile,Paid Social,3,85,0,0
SES-2025-000124,3297.0,2025-08-17 14:44:28,Mobile,Organic Search,1,10,1,0
SES-2025-000125,984.0,2025-04-11 21:30:40,Tablet,Paid Search,2,48,0,0
SES-2025-000126,,2025-07-20 07:53:56,Mobile,Organic Search,1,14,1,0
SES-2025-000127,,2025-09-12 10:14:37,Mobile,Paid Social,3,113,0,0
SES-2025-000128,757.0,2025-04-14 16:18:27,Mobile,Paid Social,2,46,0,0
SES-2025-000129,6409.0,2025-07-05 13:05:36,Desktop,Paid Search,1,10,1,0
SES-2025-000130,5505.0,2025-12-09 05:56:53,Desktop,Paid Social,1,16,1,0
SES-2025-000131,6778.0,2025-11-28 20:45:43,Tablet,Paid Search,2,26,0,0
SES-2025-000132,7064.0,2025-12-27 14:50:43,Mobile,Direct,1,7,1,0
SES-2025-000133,7498.0,2025-12-25 16:21:24,Mobile,Paid Social,1,18,1,0
SES-2025-000134,2922.0,2025-09-26 19:02:43,Mobile,Email,2,61,0,0
SES-2025-000135,,2025-08-22 21:46:47,Mobile,Direct,3,72,0,0
SES-2025-000136,7631.0,2025-12-29 17:24:24,Mobile,Organic Search,2,65,0,0
SES-2025-000137,3352.0,2025-09-17 11:57:54,Mobile,Organic Search,1,17,1,0
SES-2025-000138,1696.0,2025-08-16 18:19:49,Mobile,Affiliate,3,137,0,0
SES-2025-000139,4917.0,2025-11-12 01:22:36,Mobile,Affiliate,1,12,1,0
SES-2025-000140,4277.0,2025-11-22 19:41:41,Mobile,Organic Search,2,25,0,0
SES-2025-000141,,2025-12-26 22:11:34,Desktop,Paid Search,3,94,0,0
SES-2025-000142,834.0,2025-09-08 16:29:27,Desktop,Organic Search,7,150,0,1
SES-2025-000143,2445.0,2025-10-13 20:30:26,Mobile,Paid Social,3,128,0,0
SES-2025-000144,,2025-10-02 14:38:09,Mobile,Paid Search,1,5,1,0
SES-2025-000145,4276.0,2025-11-07 21:52:56,Mobile,Organic Search,3,108,0,0
SES-2025-000146,6771.0,2025-11-08 20:26:05,Mobile,Paid Social,2,52,0,0
SES-2025-000147,8158.0,2025-02-28 05:31:12,Desktop,Paid Search,3,66,0,0
SES-2025-000148,6478.0,2025-11-16 07:27:50,Mobile,Paid Social,4,144,0,0
SES-2025-000149,,2025-08-22 00:56:25,Desktop,Email,2,28,0,0
SES-2025-000150,6364.0,2025-12-09 19:04:34,Desktop,Paid Search,3,123,0,0
SES-2025-000151,3807.0,2025-08-18 11:55:12,Mobile,Organic Search,4,149,0,0
SES-2025-000152,2143.0,2025-07-11 06:24:55,Mobile,Organic Search,1,7,1,0
SES-2025-000153,5093.0,2025-05-23 17:38:40,Tablet,Affiliate,3,67,0,0
SES-2025-000154,4225.0,2025-11-30 11:58:03,Mobile,Organic Search,4,138,0,0
SES-2025-000155,6912.0,2025-11-12 09:34:24,Desktop,Organic Search,3,116,0,0
SES-2025-000156,3140.0,2025-12-16 14:17:07,Mobile,Organic Search,1,6,1,0
SES-2025-000157,2906.0,2025-11-05 12:49:16,Desktop,Email,3,130,0,0
SES-2025-000158,9276.0,2025-05-24 08:28:11,Desktop,Paid Search,1,12,1,0
SES-2025-000159,8110.0,2025-09-23 00:01:35,Mobile,Paid Search,1,4,1,0
SES-2025-000160,,2025-07-17 19:23:19,Desktop,Paid Search,1,3,1,0
SES-2025-000161,1647.0,2025-05-11 20:30:08,Desktop,Paid Social,5,200,0,0
SES-2025-000162,,2025-04-28 20:41:37,Desktop,Paid Search,3,103,0,0
SES-2025-000163,3174.0,2025-08-17 13:53:48,Desktop,Paid Social,1,12,1,0
SES-2025-000164,2019.0,2025-02-19 13:50:44,Desktop,Email,2,37,0,0
SES-2025-000165,1386.0,2025-10-10 14:04:50,Mobile,Direct,7,188,0,1
SES-2025-000166,6878.0,2025-05-20 06:09:20,Desktop,Email,1,10,1,0
SES-2025-000167,9523.0,2025-12-06 02:06:45,Tablet,Organic Search,3,76,0,0
SES-2025-000168,,2025-01-21 12:05:38,Desktop,Paid Search,1,17,1,0
SES-2025-000169,3446.0,2025-09-02 13:54:19,Mobile,Paid Social,1,13,1,0
SES-2025-000170,3723.0,2025-06-18 07:14:38,Mobile,Paid Social,2,38,0,0
SES-2025-000171,,2025-10-24 04:47:58,Mobile,Paid Search,1,7,1,0
SES-2025-000172,3679.0,2025-10-16 20:57:39,Mobile,Paid Search,3,88,0,0
SES-2025-000173,6721.0,2025-12-22 00:09:06,Mobile,Paid Social,1,7,1,0
SES-2025-000174,1915.0,2025-10-19 00:53:08,Mobile,Direct,2,49,0,0
SES-2025-000175,649.0,2025-12-04 21:53:58,Mobile,Direct,2,46,0,0
SES-2025-000176,,2025-07-05 14:16:23,Tablet,Paid Social,1,4,1,0
SES-2025-000177,,2025-07-29 22:04:09,Desktop,Direct,4,161,0,0
SES-2025-000178,,2025-12-17 12:17:08,Desktop,Paid Social,1,5,1,0
SES-2025-000179,2137.0,2025-10-24 01:48:06,Desktop,Paid Social,4,99,0,0
SES-2025-000180,5824.0,2025-05-21 10:50:54,Mobile,Organic Search,3,115,0,0
SES-2025-000181,8990.0,2025-12-15 21:04:16,Mobile,Affiliate,4,139,0,0
SES-2025-000182,,2025-01-18 20:47:33,Desktop,Paid Search,1,7,1,0
SES-2025-000183,9269.0,2025-12-11 03:32:03,Desktop,Organic Search,1,18,1,0
SES-2025-000184,3179.0,2025-05-09 20:09:28,Tablet,Paid Search,1,10,1,0
SES-2025-000185,9502.0,2025-09-24 11:51:10,Mobile,Direct,4,130,0,0
SES-2025-000186,,2025-12-23 16:20:34,Mobile,Organic Search,1,14,1,0
SES-2025-000187,4073.0,2025-05-07 09:47:19,Mobile,Paid Search,2,29,0,0
SES-2025-000188,4510.0,2025-09-29 18:46:37,Mobile,Paid Search,1,13,1,0
SES-2025-000189,4450.0,2025-09-18 13:59:30,Desktop,Paid Social,1,12,1,0
SES-2025-000190,,2025-12-24 02:39:52,Mobile,Paid Social,1,5,1,0
SES-2025-000191,,2025-09-11 03:43:27,Mobile,Paid Search,3,130,0,0
SES-2025-000192,3118.0,2025-12-29 09:32:40,Mobile,Organic Search,4,127,0,0
SES-2025-000193,,2025-04-16 23:53:02,Desktop,Organic Search,1,13,1,0
SES-2025-000194,535.0,2025-09-10 00:58:09,Desktop,Organic Search,1,8,1,0
SES-2025-000195,7124.0,2025-11-10 11:26:48,Mobile,Direct,2,56,0,0
SES-2025-000196,,2025-04-14 13:56:14,Mobile,Paid Social,1,12,1,0
SES-2025-000197,1551.0,2025-08-04 16:01:12,Desktop,Organic Search,4,58,0,0
SES-2025-000198,,2025-12-28 05:57:23,Mobile,Paid Social,2,37,0,0
SES-2025-000199,3789.0,2025-10-16 17:21:11,Tablet,Paid Social,1,13,1,0
SES-2025-000200,,2025-09-18 18:49:57,Desktop,Organic Search,3,111,0,0
SES-2025-000201,,2025-09-09 07:45:14,Desktop,Organic Search,1,8,1,0
SES-2025-000202,1422.0,2025-10-23 07:39:28,Mobile,Email,4,121,0,0
SES-2025-000203,,2025-01-14 13:20:25,Desktop,Direct,4,121,0,0
SES-2025-000204,5554.0,2025-12-16 21:29:53,Mobile,Direct,1,17,1,0
SES-2025-000205,7141.0,2025-03-08 17:55:05,Desktop,Organic Search,1,6,1,0
SES-2025-000206,6824.0,2025-12-31 23:58:01,Mobile,Direct,4,117,0,0
SES-2025-000207,5849.0,2025-06-07 16:33:36,Desktop,Paid Search,3,112,0,0
SES-2025-000208,7890.0,2025-04-28 04:45:23,Desktop,Organic Search,1,18,1,0
SES-2025-000209,1182.0,2025-06-17 23:45:07,Desktop,Paid Search,2,37,0,0
SES-2025-000210,1731.0,2025-08-22 19:39:47,Desktop,Paid Search,3,138,0,0
SES-2025-000211,5106.0,2025-12-30 03:13:08,Mobile,Paid Search,1,17,1,0
SES-2025-000212,1479.0,2025-03-30 17:47:11,Desktop,Paid Search,3,113,0,0
SES-2025-000213,6201.0,2025-12-18 14:40:36,Mobile,Email,7,211,0,1
SES-2025-000214,,2025-07-12 05:02:34,Desktop,Email,1,10,1,0
SES-2025-000215,2057.0,2025-12-25 15:43:44,Mobile,Paid Social,2,36,0,0
SES-2025-000216,6343.0,2025-08-25 19:58:08,Mobile,Email,3,66,0,0
SES-2025-000217,9033.0,2025-10-28 13:26:59,Desktop,Organic Search,2,19,0,0
SES-2025-000218,5178.0,2025-03-31 04:41:34,Desktop,Paid Search,4,92,0,0
SES-2025-000219,8627.0,2025-11-12 13:47:40,Mobile,Email,3,66,0,0
SES-2025-000220,8831.0,2025-11-29 10:16:30,Mobile,Paid Social,1,15,1,0
SES-2025-000221,,2025-08-11 23:55:29,Mobile,Paid Social,3,100,0,0
SES-2025-000222,,2025-02-14 02:30:36,Mobile,Paid Search,1,15,1,0
SES-2025-000223,5008.0,2025-12-09 04:31:29,Mobile,Paid Search,1,4,1,0
SES-2025-000224,2322.0,2025-10-03 06:26:21,Mobile,Paid Social,2,42,0,0
SES-2025-000225,5392.0,2025-08-31 17:02:41,Mobile,Organic Search,2,24,0,0
SES-2025-000226,,2025-07-09 15:58:25,Mobile,Paid Social,1,5,1,0
SES-2025-000227,8928.0,2025-12-08 09:44:34,Mobile,Organic Search,3,114,0,0
SES-2025-000228,,2025-12-25 04:52:23,Desktop,Email,2,35,0,0
SES-2025-000229,9580.0,2025-08-20 01:53:58,Desktop,Paid Social,3,98,0,0
SES-2025-000230,3201.0,2025-12-01 17:02:44,Mobile,Paid Social,2,66,0,0
SES-2025-000231,4976.0,2025-11-05 20:33:57,Desktop,Direct,3,96,0,0
SES-2025-000232,9759.0,2025-10-10 14:13:39,Mobile,Organic Search,3,73,0,0
SES-2025-000233,1480.0,2025-10-29 22:07:06,Desktop,Direct,2,42,0,0
SES-2025-000234,7600.0,2025-09-24 05:41:36,Mobile,Direct,3,88,0,0
SES-2025-000235,7083.0,2025-10-02 15:38:49,Mobile,Paid Search,3,106,0,0
SES-2025-000236,,2025-01-30 15:01:01,Mobile,Organic Search,4,139,0,0
SES-2025-000237,2913.0,2025-08-07 13:38:10,Tablet,Organic Search,3,96,0,0
SES-2025-000238,7746.0,2025-11-28 20:44:20,Mobile,Direct,1,14,1,0
SES-2025-000239,,2025-10-27 03:08:29,Desktop,Paid Social,1,3,1,0
SES-2025-000240,8897.0,2025-07-13 20:24:19,Desktop,Organic Search,3,86,0,0
SES-2025-000241,7071.0,2025-09-07 15:56:01,Desktop,Paid Search,3,86,0,0
SES-2025-000242,5499.0,2025-07-19 14:36:01,Mobile,Organic Search,2,43,0,0
SES-2025-000243,7837.0,2025-11-06 10:15:35,Mobile,Organic Search,1,4,1,0
SES-2025-000244,42.0,2025-05-25 10:43:25,Desktop,Organic Search,2,55,0,0
SES-2025-000245,8186.0,2025-05-02 15:40:14,Desktop,Direct,2,66,0,0
SES-2025-000246,,2025-12-10 20:19:02,Mobile,Paid Search,1,6,1,0
SES-2025-000247,7107.0,2025-10-04 08:55:08,Mobile,Organic Search,1,13,1,0
SES-2025-000248,6509.0,2025-12-01 09:53:54,Desktop,Organic Search,3,89,0,0
SES-2025-000249,,2025-03-27 05:34:29,Tablet,Paid Social,1,15,1,0
SES-2025-000250,,2025-12-17 01:00:14,Mobile,Organic Search,1,14,1,0
SES-2025-000251,9354.0,2025-11-29 03:23:08,Desktop,Organic Search,7,213,0,1
SES-2025-000252,,2025-08-28 13:26:01,Mobile,Paid Social,1,15,1,0
SES-2025-000253,3646.0,2025-09-01 23:48:58,Mobile,Organic Search,1,6,1,0
SES-2025-000254,,2025-10-28 17:35:44,Desktop,Organic Search,3,99,0,0
SES-2025-000255,,2025-12-14 01:14:02,Desktop,Direct,1,6,1,0
SES-2025-000256,8588.0,2025-10-04 13:54:28,Desktop,Organic Search,1,13,1,0
SES-2025-000257,1434.0,2025-09-09 07:26:41,Desktop,Paid Search,1,10,1,0
SES-2025-000258,2116.0,2025-11-12 02:13:29,Mobile,Paid Search,3,89,0,0
SES-2025-000259,6736.0,2025-11-19 05:55:48,Mobile,Organic Search,4,153,0,0
SES-2025-000260,,2025-11-18 06:47:59,Mobile,Organic Search,1,11,1,0
SES-2025-000261,4320.0,2025-07-16 05:38:18,Mobile,Email,1,14,1,0
SES-2025-000262,2897.0,2025-12-28 10:59:40,Mobile,Paid Search,3,97,0,0
SES-2025-000263,5529.0,2025-09-19 20:28:51,Mobile,Paid Social,3,121,0,0
SES-2025-000264,8638.0,2025-12-12 03:52:35,Mobile,Organic Search,4,114,0,0
SES-2025-000265,,2025-03-21 02:09:59,Desktop,Paid Social,1,4,1,0
SES-2025-000266,,2025-08-09 13:14:46,Mobile,Direct,1,18,1,0
SES-2025-000267,3062.0,2025-11-22 06:10:54,Desktop,Organic Search,1,11,1,0
SES-2025-000268,,2025-10-22 22:24:11,Mobile,Email,4,86,0,0
SES-2025-000269,7784.0,2025-12-15 09:30:35,Mobile,Organic Search,1,4,1,0
SES-2025-000270,,2025-08-02 05:53:56,Mobile,Paid Search,1,9,1,0
SES-2025-000271,,2025-01-10 21:04:11,Mobile,Paid Social,2,38,0,0
SES-2025-000272,,2025-06-18 09:01:34,Tablet,Paid Search,4,134,0,0
SES-2025-000273,,2025-09-28 16:23:58,Desktop,Organic Search,3,83,0,0
SES-2025-000274,,2025-10-28 00:15:01,Mobile,Email,3,103,0,0
SES-2025-000275,6034.0,2025-10-23 10:59:08,Mobile,Affiliate,2,29,0,0
SES-2025-000276,,2025-02-04 08:13:14,Mobile,Paid Social,4,167,0,0
SES-2025-000277,4264.0,2025-05-31 23:18:37,Mobile,Paid Social,2,38,0,0
SES-2025-000278,9934.0,2025-10-09 13:50:41,Desktop,Direct,4,179,0,0
SES-2025-000279,,2025-12-24 00:24:16,Mobile,Direct,1,13,1,0
SES-2025-000280,8125.0,2025-11-04 01:32:08,Mobile,Paid Search,4,137,0,0
SES-2025-000281,1940.0,2025-09-13 16:57:53,Mobile,Paid Search,2,54,0,0
SES-2025-000282,3302.0,2025-05-14 07:04:45,Mobile,Organic Search,2,49,0,0
SES-2025-000283,1883.0,2025-10-25 05:51:57,Mobile,Organic Search,1,11,1,0
SES-2025-000284,9819.0,2025-12-03 12:03:11,Desktop,Email,4,111,0,0
SES-2025-000285,5245.0,2025-09-15 06:47:23,Desktop,Paid Social,3,67,0,0
SES-2025-000286,,2025-09-03 12:50:29,Mobile,Paid Search,2,34,0,0
SES-2025-000287,9871.0,2025-11-30 21:31:20,Desktop,Affiliate,1,9,1,0
SES-2025-000288,6693.0,2025-11-15 00:16:41,Desktop,Organic Search,1,11,1,0
SES-2025-000289,3595.0,2025-08-14 19:10:34,Mobile,Paid Search,2,52,0,0
SES-2025-000290,,2025-09-04 05:44:52,Desktop,Direct,3,108,0,0
SES-2025-000291,,2025-11-16 15:29:27,Mobile,Direct,2,33,0,0
SES-2025-000292,304.0,2025-10-10 04:26:15,Mobile,Email,3,96,0,0
SES-2025-000293,3552.0,2025-03-26 15:29:55,Mobile,Paid Search,1,3,1,0
SES-2025-000294,8863.0,2025-09-13 01:59:05,Mobile,Organic Search,4,111,0,0
SES-2025-000295,,2025-03-26 07:23:20,Mobile,Paid Search,4,110,0,0
SES-2025-000296,,2025-10-31 12:06:38,Desktop,Organic Search,2,20,0,0
SES-2025-000297,8094.0,2025-10-08 20:28:07,Mobile,Organic Search,1,12,1,0
SES-2025-000298,4806.0,2025-11-23 13:25:54,Mobile,Organic Search,2,44,0,0
SES-2025-000299,,2025-04-28 15:22:42,Mobile,Paid Social,3,59,0,0
SES-2025-000300,,2025-02-24 04:17:19,Desktop,Organic Search,6,246,0,0
SES-2025-000301,3555.0,2025-03-30 15:23:01,Mobile,Paid Search,2,59,0,0
SES-2025-000302,4357.0,2025-07-17 14:48:23,Desktop,Direct,3,104,0,0
SES-2025-000303,,2025-09-02 07:33:51,Mobile,Email,1,3,1,0
SES-2025-000304,1624.0,2025-10-14 00:03:59,Desktop,Organic Search,1,8,1,0
SES-2025-000305,766.0,2025-03-17 22:07:33,Desktop,Paid Social,2,36,0,0
SES-2025-000306,9629.0,2025-10-16 07:12:27,Mobile,Paid Search,2,58,0,0
SES-2025-000307,6332.0,2025-08-06 08:44:29,Desktop,Paid Search,3,122,0,0
SES-2025-000308,,2025-08-22 13:22:32,Mobile,Organic Search,2,48,0,0
SES-2025-000309,,2025-03-06 05:32:48,Desktop,Email,3,99,0,0
SES-2025-000310,1495.0,2025-11-23 23:16:37,Mobile,Paid Search,1,6,1,0
SES-2025-000311,4875.0,2025-06-06 04:30:47,Desktop,Direct,3,121,0,0
SES-2025-000312,9228.0,2025-10-13 16:04:20,Desktop,Paid Search,1,15,1,0
SES-2025-000313,,2025-10-17 16:59:47,Tablet,Direct,3,60,0,0
SES-2025-000314,431.0,2025-11-19 22:03:32,Desktop,Direct,4,102,0,0
SES-2025-000315,3646.0,2025-09-23 21:34:02,Mobile,Paid Search,1,5,1,0
