order_id,user_key,session_id,date_key,subtotal,discount_amount,shipping_fee,tax_amount,total_amount,order_status,shipping_method
ORD-2025-000021,5355,SES-2025-001144,20251024,56.0,0.0,7.99,4.62,68.61,Delivered,Standard Ground
ORD-2025-000022,4826,SES-2025-001187,20250313,24.0,2.4,7.99,1.98,31.57,Delivered,Standard Ground
ORD-2025-000023,1703,SES-2025-001224,20251127,34.0,0.0,7.99,2.81,44.8,Delivered,Standard Ground
ORD-2025-000024,7574,SES-2025-001243,20251224,22.0,0.0,7.99,1.82,31.81,Delivered,Standard Ground
ORD-2025-000025,5298,SES-2025-001435,20251220,34.0,0.0,7.99,2.81,44.8,Delivered,Standard Ground
ORD-2025-000026,1059,SES-2025-001482,20251024,44.0,0.0,7.99,3.63,55.62,Delivered,Standard Ground
ORD-2025-000027,7241,SES-2025-001502,20250605,64.0,0.0,7.99,5.28,77.27,Delivered,Standard Ground
ORD-2025-000028,3868,SES-2025-001537,20250427,149.99,0.0,0.0,12.37,162.36,Delivered,Free Standard
ORD-2025-000029,8591,SES-2025-001554,20251002,255.0,0.0,0.0,21.04,276.04,Delivered,Free Standard
ORD-2025-000030,402,SES-2025-001566,20251231,85.0,0.0,0.0,7.01,92.01,Delivered,Free Standard
ORD-2025-000031,8613,SES-2025-001567,20250305,85.0,8.5,0.0,7.01,83.51,Delivered,Free Standard
ORD-2025-000032,716,SES-2025-001620,20251109,29.0,0.0,7.99,2.39,39.38,Delivered,Standard Ground
ORD-2025-000033,488,SES-2025-001623,20250228,79.99,0.0,0.0,6.6,86.59,Delivered,Free Standard
ORD-2025-000034,1861,SES-2025-001713,20250907,145.0,0.0,0.0,11.96,156.96,Delivered,Free Standard
ORD-2025-000035,9348,SES-2025-001794,20251216,49.99,0.0,7.99,4.12,62.1,Delivered,Standard Ground
ORD-2025-000036,8890,SES-2025-001807,20251008,698.0,0.0,0.0,57.59,755.59,Processing,Free Standard
ORD-2025-000037,7939,SES-2025-001833,20250902,98.0,0.0,0.0,8.09,106.09,Delivered,Free Standard
ORD-2025-000038,2702,SES-2025-001849,20250609,26.0,0.0,7.99,2.15,36.14,Delivered,Standard Ground
ORD-2025-000039,886,SES-2025-001851,20250909,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000040,4216,SES-2025-001897,20250305,599.98,60.0,0.0,49.5,589.48,Delivered,Free Standard
ORD-2025-000041,6454,SES-2025-001938,20251124,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000042,5270,SES-2025-001942,20251210,42.0,0.0,7.99,3.47,53.46,Delivered,Standard Ground
ORD-2025-000043,1685,SES-2025-002141,20250806,38.0,0.0,7.99,3.14,49.13,Delivered,Standard Ground
ORD-2025-000044,3546,SES-2025-002157,20251231,48.0,0.0,7.99,3.96,59.95,Delivered,Standard Ground
ORD-2025-000045,756,SES-2025-002238,20251229,34.0,0.0,7.99,2.81,44.8,Delivered,Standard Ground
ORD-2025-000046,8021,SES-2025-002272,20250911,159.98,0.0,0.0,13.2,173.18,Delivered,Free Standard
ORD-2025-000047,5964,SES-2025-002273,20250624,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000048,2711,SES-2025-002320,20250706,42.0,0.0,7.99,3.47,53.46,Delivered,Standard Ground
ORD-2025-000049,7799,SES-2025-002340,20251230,204.0,0.0,0.0,16.83,220.83,Delivered,Free Standard
ORD-2025-000050,7190,SES-2025-002395,20250521,64.0,0.0,7.99,5.28,77.27,Delivered,Standard Ground
ORD-2025-000051,4447,SES-2025-002461,20250117,145.0,0.0,0.0,11.96,156.96,Delivered,Free Standard
ORD-2025-000052,4702,SES-2025-002585,20250701,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000053,4414,SES-2025-002588,20250307,95.0,0.0,0.0,7.84,102.84,Delivered,Free Standard
ORD-2025-000054,75,SES-2025-002637,20251204,145.0,0.0,0.0,11.96,156.96,Delivered,Free Standard
ORD-2025-000055,3080,SES-2025-002669,20251226,49.0,0.0,7.99,4.04,61.03,Delivered,Standard Ground
ORD-2025-000056,7209,SES-2025-002670,20251228,24.0,0.0,7.99,1.98,33.97,Delivered,Standard Ground
ORD-2025-000057,3822,SES-2025-002715,20251011,139.98,0.0,0.0,11.55,151.53,Delivered,Free Standard
ORD-2025-000058,8830,SES-2025-002762,20251122,39.99,0.0,7.99,3.3,51.28,Delivered,Standard Ground
ORD-2025-000059,6824,SES-2025-002811,20250125,32.0,3.2,7.99,2.64,39.43,Delivered,Standard Ground
ORD-2025-000060,4207,SES-2025-002908,20251228,110.0,0.0,0.0,9.08,119.08,Delivered,Free Standard
ORD-2025-000061,880,SES-2025-002914,20250319,110.0,11.0,0.0,9.08,108.08,Delivered,Free Standard
ORD-2025-000062,9088,SES-2025-002928,20250925,74.0,0.0,7.99,6.11,88.1,Delivered,Standard Ground
ORD-2025-000063,4237,SES-2025-003078,20250103,42.0,0.0,7.99,3.47,53.46,Delivered,Standard Ground
ORD-2025-000064,310,SES-2025-003115,20250504,25.0,0.0,7.99,2.06,35.05,Delivered,Standard Ground
ORD-2025-000065,2328,SES-2025-003117,20250802,158.0,0.0,0.0,13.04,171.04,Delivered,Free Standard
ORD-2025-000066,9258,SES-2025-003142,20251227,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000067,8252,SES-2025-003155,20250928,79.99,0.0,0.0,6.6,86.59,Delivered,Free Standard
ORD-2025-000068,497,SES-2025-003158,20250727,32.0,3.2,7.99,2.64,39.43,Delivered,Standard Ground
ORD-2025-000069,7172,SES-2025-003159,20250928,68.0,0.0,7.99,5.61,81.6,Delivered,Standard Ground
ORD-2025-000070,6946,SES-2025-003175,20251217,22.0,0.0,7.99,1.82,31.81,Processing,Standard Ground
ORD-2025-000071,8551,SES-2025-003235,20251129,32.0,0.0,7.99,2.64,42.63,Delivered,Standard Ground
ORD-2025-000072,2048,SES-2025-003251,20251209,52.0,5.2,7.99,4.29,59.08,Delivered,Standard Ground
ORD-2025-000073,2513,SES-2025-003254,20250901,145.0,0.0,0.0,11.96,156.96,Delivered,Free Standard
ORD-2025-000074,9010,SES-2025-003264,20250707,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000075,5345,SES-2025-003325,20250708,69.99,0.0,7.99,5.77,83.75,Delivered,Standard Ground
ORD-2025-000076,3348,SES-2025-003354,20250804,32.0,0.0,7.99,2.64,42.63,Delivered,Standard Ground
ORD-2025-000077,4789,SES-2025-003356,20250618,74.0,0.0,7.99,6.11,88.1,Delivered,Standard Ground
ORD-2025-000078,7693,SES-2025-003468,20250308,220.0,0.0,0.0,18.15,238.15,Delivered,Free Standard
ORD-2025-000079,3269,SES-2025-003559,20250722,89.0,0.0,0.0,7.34,96.34,Delivered,Free Standard
ORD-2025-000080,6521,SES-2025-003564,20250304,89.99,0.0,0.0,7.42,97.41,Delivered,Free Standard
ORD-2025-000081,6569,SES-2025-003625,20250507,64.0,0.0,7.99,5.28,77.27,Delivered,Standard Ground
ORD-2025-000082,7754,SES-2025-003632,20250828,32.0,0.0,7.99,2.64,42.63,Delivered,Standard Ground
ORD-2025-000083,9551,SES-2025-003655,20251113,79.99,0.0,0.0,6.6,86.59,Delivered,Free Standard
ORD-2025-000084,8731,SES-2025-003706,20250911,28.0,0.0,7.99,2.31,38.3,Delivered,Standard Ground
ORD-2025-000085,8055,SES-2025-003719,20251129,79.99,8.0,0.0,6.6,78.59,Delivered,Free Standard
ORD-2025-000086,6959,SES-2025-003856,20251015,25.0,0.0,7.99,2.06,35.05,Delivered,Standard Ground
ORD-2025-000087,4682,SES-2025-003904,20251223,54.99,0.0,7.99,4.54,67.52,Delivered,Standard Ground
ORD-2025-000088,2776,SES-2025-003920,20251205,145.0,0.0,0.0,11.96,156.96,Delivered,Free Standard
ORD-2025-000089,6023,SES-2025-004009,20251217,85.0,0.0,0.0,7.01,92.01,Delivered,Free Standard
ORD-2025-000090,612,SES-2025-004040,20251103,136.0,0.0,0.0,11.22,147.22,Delivered,Free Standard
ORD-2025-000091,9274,SES-2025-004127,20250928,26.0,0.0,7.99,2.15,36.14,Delivered,Standard Ground
ORD-2025-000092,2416,SES-2025-004141,20250918,79.99,0.0,0.0,6.6,86.59,Delivered,Free Standard
ORD-2025-000093,6984,SES-2025-004162,20250501,76.0,0.0,0.0,6.27,82.27,Delivered,Free Standard
ORD-2025-000094,9469,SES-2025-004216,20250324,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000095,876,SES-2025-004217,20250404,34.0,0.0,7.99,2.81,44.8,Delivered,Standard Ground
ORD-2025-000096,981,SES-2025-004258,20251025,56.0,0.0,7.99,4.62,68.61,Delivered,Standard Ground
ORD-2025-000097,1803,SES-2025-004261,20251209,159.98,0.0,0.0,13.2,173.18,Delivered,Free Standard
ORD-2025-000098,3023,SES-2025-004267,20251121,25.0,0.0,7.99,2.06,35.05,Delivered,Standard Ground
ORD-2025-000099,2362,SES-2025-004297,20251023,49.99,0.0,7.99,4.12,62.1,Delivered,Standard Ground
ORD-2025-000100,465,SES-2025-004302,20251017,64.0,0.0,7.99,5.28,77.27,Delivered,Standard Ground
ORD-2025-000101,3108,SES-2025-004310,20251204,26.0,0.0,7.99,2.15,36.14,Delivered,Standard Ground
ORD-2025-000102,1609,SES-2025-004315,20250905,75.0,0.0,0.0,6.19,81.19,Delivered,Free Standard
ORD-2025-000103,2986,SES-2025-004363,20251018,68.0,0.0,7.99,5.61,81.6,Delivered,Standard Ground
ORD-2025-000104,9715,SES-2025-004412,20250511,299.98,0.0,0.0,24.75,324.73,Delivered,Free Standard
ORD-2025-000105,4959,SES-2025-004413,20250806,32.0,0.0,7.99,2.64,42.63,Delivered,Standard Ground
ORD-2025-000106,8614,SES-2025-004424,20250802,89.0,0.0,0.0,7.34,96.34,Delivered,Free Standard
ORD-2025-000107,3931,SES-2025-004455,20251217,49.99,0.0,7.99,4.12,62.1,Delivered,Standard Ground
ORD-2025-000108,8298,SES-2025-004575,20250219,64.0,0.0,7.99,5.28,77.27,Delivered,Standard Ground
ORD-2025-000109,4100,SES-2025-004578,20250211,89.99,0.0,0.0,7.42,97.41,Delivered,Free Standard
ORD-2025-000110,1033,SES-2025-004674,20250421,42.0,4.2,7.99,3.47,49.26,Delivered,Standard Ground
ORD-2025-000111,2280,SES-2025-004712,20251123,69.99,0.0,7.99,5.77,83.75,Delivered,Standard Ground
ORD-2025-000112,2171,SES-2025-004715,20250415,32.0,0.0,7.99,2.64,42.63,Delivered,Standard Ground
ORD-2025-000113,1994,SES-2025-004720,20250916,79.99,8.0,0.0,6.6,78.59,Delivered,Free Standard
ORD-2025-000114,565,SES-2025-004763,20251025,34.0,0.0,7.99,2.81,44.8,Delivered,Standard Ground
ORD-2025-000115,9181,SES-2025-004803,20250905,170.0,0.0,0.0,14.03,184.03,Delivered,Free Standard
ORD-2025-000116,4631,SES-2025-004844,20251111,110.0,0.0,0.0,9.08,119.08,Delivered,Free Standard
ORD-2025-000117,449,SES-2025-004845,20250617,42.0,0.0,7.99,3.47,53.46,Delivered,Standard Ground
ORD-2025-000118,4261,SES-2025-004871,20250129,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000119,202,SES-2025-004877,20250326,84.0,0.0,0.0,6.93,90.93,Delivered,Free Standard
ORD-2025-000120,8341,SES-2025-004888,20251031,349.0,0.0,0.0,28.79,377.79,Delivered,Free Standard
ORD-2025-000121,8410,SES-2025-004916,20251010,299.99,0.0,0.0,24.75,324.74,Processing,Free Standard
ORD-2025-000122,1831,SES-2025-004991,20251226,44.0,0.0,7.99,3.63,55.62,Delivered,Standard Ground
ORD-2025-000123,773,SES-2025-004998,20251010,149.99,0.0,0.0,12.37,162.36,Delivered,Free Standard
ORD-2025-000124,8551,SES-2025-005010,20250218,50.0,5.0,7.99,4.12,57.11,Delivered,Standard Ground
ORD-2025-000125,828,SES-2025-005016,20250919,25.0,2.5,7.99,2.06,32.55,Delivered,Standard Ground
ORD-2025-000126,6324,SES-2025-005075,20251230,88.0,0.0,0.0,7.26,95.26,Delivered,Free Standard
ORD-2025-000127,4229,SES-2025-005085,20250329,26.0,0.0,7.99,2.15,36.14,Delivered,Standard Ground
ORD-2025-000128,6003,SES-2025-005104,20250506,79.99,0.0,0.0,6.6,86.59,Delivered,Free Standard
ORD-2025-000129,8116,SES-2025-005135,20250721,68.0,0.0,7.99,5.61,81.6,Processing,Standard Ground
ORD-2025-000130,1262,SES-2025-005183,20251223,44.0,0.0,7.99,3.63,55.62,Delivered,Standard Ground
ORD-2025-000131,7804,SES-2025-005195,20250310,69.99,0.0,7.99,5.77,83.75,Delivered,Standard Ground
ORD-2025-000132,5902,SES-2025-005202,20250324,44.0,0.0,7.99,3.63,55.62,Delivered,Standard Ground
ORD-2025-000133,6531,SES-2025-005208,20251115,24.0,0.0,7.99,1.98,33.97,Delivered,Standard Ground
ORD-2025-000134,6805,SES-2025-005219,20251105,79.99,0.0,0.0,6.6,86.59,Delivered,Free Standard
ORD-2025-000135,6645,SES-2025-005233,20251104,119.97,0.0,0.0,9.9,129.87,Delivered,Free Standard
ORD-2025-000136,2883,SES-2025-005237,20251118,299.99,0.0,0.0,24.75,324.74,Delivered,Free Standard
ORD-2025-000137,5036,SES-2025-005258,20250522,79.0,0.0,0.0,6.52,85.52,Processing,Free Standard
ORD-2025-000138,7260,SES-2025-005276,20251007,69.99,0.0,7.99,5.77,83.75,Delivered,Standard Ground
ORD-2025-000139,510,SES-2025-005279,20251114,39.99,0.0,7.99,3.3,51.28,Delivered,Standard Ground
ORD-2025-000140,9419,SES-2025-005281,20250706,158.0,15.8,0.0,13.04,155.24,Processing,Free Standard
ORD-2025-000141,6771,SES-2025-005288,20251216,74.0,0.0,7.99,6.11,88.1,Delivered,Standard Ground
ORD-2025-000142,758,SES-2025-005316,20251025,84.0,0.0,0.0,6.93,90.93,Processing,Free Standard
ORD-2025-000143,5753,SES-2025-005466,20251226,42.0,0.0,7.99,3.47,53.46,Delivered,Standard Ground
ORD-2025-000144,5610,SES-2025-005482,20250810,39.99,0.0,7.99,3.3,51.28,Delivered,Standard Ground
ORD-2025-000145,1407,SES-2025-005491,20251212,109.98,0.0,0.0,9.07,119.05,Delivered,Free Standard
ORD-2025-000146,6511,SES-2025-005528,20250830,38.0,0.0,7.99,3.14,49.13,Delivered,Standard Ground
ORD-2025-000147,7315,SES-2025-005540,20251211,34.0,0.0,7.99,2.81,44.8,Delivered,Standard Ground
ORD-2025-000148,9794,SES-2025-005557,20251022,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000149,7629,SES-2025-005601,20251205,158.0,0.0,0.0,13.04,171.04,Delivered,Free Standard
ORD-2025-000150,6439,SES-2025-005691,20250912,44.0,0.0,7.99,3.63,55.62,Delivered,Standard Ground
ORD-2025-000151,7773,SES-2025-005740,20251106,79.99,0.0,0.0,6.6,86.59,Delivered,Free Standard
ORD-2025-000152,2814,SES-2025-005752,20250604,79.99,0.0,0.0,6.6,86.59,Processing,Free Standard
ORD-2025-000153,6286,SES-2025-005766,20250731,148.0,0.0,0.0,12.21,160.21,Delivered,Free Standard
ORD-2025-000154,1783,SES-2025-005768,20251005,149.99,0.0,0.0,12.37,162.36,Delivered,Free Standard
ORD-2025-000155,149,SES-2025-005886,20250719,25.0,0.0,7.99,2.06,35.05,Delivered,Standard Ground
ORD-2025-000156,4131,SES-2025-006083,20250814,48.0,4.8,7.99,3.96,55.15,Delivered,Standard Ground
ORD-2025-000157,7535,SES-2025-006164,20251119,22.0,0.0,7.99,1.82,31.81,Delivered,Standard Ground
ORD-2025-000158,2612,SES-2025-006184,20250526,39.99,0.0,7.99,3.3,51.28,Delivered,Standard Ground
ORD-2025-000159,1943,SES-2025-006217,20250406,22.0,0.0,7.99,1.82,31.81,Delivered,Standard Ground
ORD-2025-000160,1782,SES-2025-006238,20250521,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000161,3535,SES-2025-006242,20250524,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000162,8455,SES-2025-006290,20251218,145.0,14.5,0.0,11.96,142.46,Delivered,Free Standard
ORD-2025-000163,8771,SES-2025-006393,20250813,48.0,0.0,7.99,3.96,59.95,Delivered,Standard Ground
ORD-2025-000164,2674,SES-2025-006420,20251006,69.99,7.0,7.99,5.77,76.75,Delivered,Standard Ground
ORD-2025-000165,6211,SES-2025-006493,20250612,79.99,0.0,0.0,6.6,86.59,Delivered,Free Standard
ORD-2025-000166,437,SES-2025-006494,20251105,64.0,0.0,7.99,5.28,77.27,Delivered,Standard Ground
ORD-2025-000167,2453,SES-2025-006499,20251124,22.0,0.0,7.99,1.82,31.81,Delivered,Standard Ground
ORD-2025-000168,3297,SES-2025-006514,20251215,38.0,0.0,7.99,3.14,49.13,Delivered,Standard Ground
ORD-2025-000169,4241,SES-2025-006521,20251228,50.0,5.0,7.99,4.12,57.11,Delivered,Standard Ground
ORD-2025-000170,2978,SES-2025-006556,20250504,22.0,2.2,7.99,1.82,29.61,Delivered,Standard Ground
ORD-2025-000171,3572,SES-2025-006606,20250423,95.0,0.0,0.0,7.84,102.84,Delivered,Free Standard
ORD-2025-000172,806,SES-2025-006706,20251005,147.0,0.0,0.0,12.13,159.13,Delivered,Free Standard
ORD-2025-000173,9454,SES-2025-006761,20251114,48.0,4.8,7.99,3.96,55.15,Delivered,Standard Ground
ORD-2025-000174,1260,SES-2025-006783,20251212,64.0,0.0,7.99,5.28,77.27,Delivered,Standard Ground
ORD-2025-000175,3864,SES-2025-006794,20251129,28.0,2.8,7.99,2.31,35.5,Delivered,Standard Ground
ORD-2025-000176,9354,SES-2025-006810,20250221,42.0,0.0,7.99,3.47,53.46,Delivered,Standard Ground
ORD-2025-000177,826,SES-2025-006865,20251018,34.0,0.0,7.99,2.81,44.8,Delivered,Standard Ground
ORD-2025-000178,6063,SES-2025-006890,20251212,74.0,0.0,7.99,6.11,88.1,Delivered,Standard Ground
ORD-2025-000179,5706,SES-2025-006897,20250105,32.0,0.0,7.99,2.64,42.63,Delivered,Standard Ground
ORD-2025-000180,2713,SES-2025-006916,20250928,79.0,0.0,0.0,6.52,85.52,Delivered,Free Standard
ORD-2025-000181,558,SES-2025-006919,20251214,114.0,0.0,0.0,9.41,123.41,Delivered,Free Standard
ORD-2025-000182,4573,SES-2025-006922,20250222,22.0,0.0,7.99,1.82,31.81,Delivered,Standard Ground
ORD-2025-000183,8821,SES-2025-006923,20250603,49.0,0.0,7.99,4.04,61.03,Delivered,Standard Ground
ORD-2025-000184,6594,SES-2025-006969,20250808,48.0,0.0,7.99,3.96,59.95,Delivered,Standard Ground
ORD-2025-000185,796,SES-2025-006992,20250415,89.0,0.0,0.0,7.34,96.34,Delivered,Free Standard
ORD-2025-000186,3644,SES-2025-007039,20251211,89.99,0.0,0.0,7.42,97.41,Delivered,Free Standard
ORD-2025-000187,8607,SES-2025-007110,20251230,54.99,0.0,7.99,4.54,67.52,Delivered,Standard Ground
ORD-2025-000188,2094,SES-2025-007122,20251229,69.99,0.0,7.99,5.77,83.75,Delivered,Standard Ground
ORD-2025-000189,2279,SES-2025-007127,20250116,48.0,4.8,7.99,3.96,55.15,Processing,Standard Ground
ORD-2025-000190,5126,SES-2025-007139,20250907,38.0,0.0,7.99,3.14,49.13,Delivered,Standard Ground
ORD-2025-000191,5580,SES-2025-007254,20251123,49.0,4.9,7.99,4.04,56.13,Delivered,Standard Ground
ORD-2025-000192,4629,SES-2025-007272,20250617,139.98,0.0,0.0,11.55,151.53,Delivered,Free Standard
ORD-2025-000193,3415,SES-2025-007296,20250916,64.0,0.0,7.99,5.28,77.27,Delivered,Standard Ground
ORD-2025-000194,6068,SES-2025-007310,20251212,95.0,0.0,0.0,7.84,102.84,Delivered,Free Standard
ORD-2025-000195,8481,SES-2025-007316,20251112,84.0,0.0,0.0,6.93,90.93,Delivered,Free Standard
ORD-2025-000196,6995,SES-2025-007322,20250505,44.0,0.0,7.99,3.63,55.62,Delivered,Standard Ground
ORD-2025-000197,6789,SES-2025-007403,20250512,299.99,0.0,0.0,24.75,324.74,Delivered,Free Standard
ORD-2025-000198,4299,SES-2025-007479,20251111,126.0,0.0,0.0,10.4,136.4,Delivered,Free Standard
ORD-2025-000199,5871,SES-2025-007492,20251228,48.0,4.8,7.99,3.96,55.15,Delivered,Standard Ground
ORD-2025-000200,4446,SES-2025-007501,20251224,28.0,0.0,7.99,2.31,38.3,Delivered,Standard Ground
ORD-2025-000201,619,SES-2025-007530,20251226,42.0,0.0,7.99,3.47,53.46,Delivered,Standard Ground
ORD-2025-000202,9169,SES-2025-007695,20251221,85.0,0.0,0.0,7.01,92.01,Delivered,Free Standard
ORD-2025-000203,8682,SES-2025-007752,20250906,24.0,0.0,7.99,1.98,33.97,Delivered,Standard Ground
ORD-2025-000204,6848,SES-2025-007768,20250130,149.99,0.0,0.0,12.37,162.36,Delivered,Free Standard
ORD-2025-000205,2158,SES-2025-007774,20251213,29.0,0.0,7.99,2.39,39.38,Delivered,Standard Ground
ORD-2025-000206,5649,SES-2025-007791,20250728,68.0,0.0,7.99,5.61,81.6,Delivered,Standard Ground
ORD-2025-000207,2214,SES-2025-007794,20251019,28.0,0.0,7.99,2.31,38.3,Delivered,Standard Ground
ORD-2025-000208,988,SES-2025-007854,20251208,267.0,0.0,0.0,22.03,289.03,Delivered,Free Standard
ORD-2025-000209,651,SES-2025-007878,20251218,42.0,4.2,7.99,3.47,49.26,Delivered,Standard Ground
ORD-2025-000210,2955,SES-2025-007879,20250423,24.0,0.0,7.99,1.98,33.97,Delivered,Standard Ground
ORD-2025-000211,5636,SES-2025-007905,20250606,170.0,0.0,0.0,14.03,184.03,Delivered,Free Standard
ORD-2025-000212,6993,SES-2025-007960,20250621,22.0,0.0,7.99,1.82,31.81,Delivered,Standard Ground
ORD-2025-000213,331,SES-2025-007974,20250628,66.0,6.6,7.99,5.45,72.84,Delivered,Standard Ground
ORD-2025-000214,6553,SES-2025-008042,20250809,74.0,0.0,7.99,6.11,88.1,Delivered,Standard Ground
ORD-2025-000215,1917,SES-2025-008181,20251129,149.99,15.0,0.0,12.37,147.36,Delivered,Free Standard
ORD-2025-000216,3172,SES-2025-008225,20250529,74.0,0.0,7.99,6.11,88.1,Delivered,Standard Ground
ORD-2025-000217,374,SES-2025-008259,20250423,76.0,0.0,0.0,6.27,82.27,Delivered,Free Standard
ORD-2025-000218,1835,SES-2025-008312,20251228,158.0,0.0,0.0,13.04,171.04,Delivered,Free Standard
ORD-2025-000219,9182,SES-2025-008326,20250915,85.0,0.0,0.0,7.01,92.01,Delivered,Free Standard
ORD-2025-000220,9531,SES-2025-008328,20250801,28.0,0.0,7.99,2.31,38.3,Delivered,Standard Ground
ORD-2025-000221,6572,SES-2025-008337,20251220,34.0,0.0,7.99,2.81,44.8,Delivered,Standard Ground
ORD-2025-000222,1019,SES-2025-008347,20251215,49.0,0.0,7.99,4.04,61.03,Delivered,Standard Ground
ORD-2025-000223,4510,SES-2025-008378,20251107,68.0,0.0,7.99,5.61,81.6,Delivered,Standard Ground
ORD-2025-000224,8834,SES-2025-008418,20251010,24.0,0.0,7.99,1.98,33.97,Delivered,Standard Ground
ORD-2025-000225,9467,SES-2025-008443,20250102,349.0,0.0,0.0,28.79,377.79,Delivered,Free Standard
ORD-2025-000226,1532,SES-2025-008530,20251224,54.99,0.0,7.99,4.54,67.52,Delivered,Standard Ground
ORD-2025-000227,1377,SES-2025-008543,20250914,26.0,0.0,7.99,2.15,36.14,Delivered,Standard Ground
ORD-2025-000228,7489,SES-2025-008572,20250111,44.0,0.0,7.99,3.63,55.62,Delivered,Standard Ground
ORD-2025-000229,2277,SES-2025-008770,20251220,28.0,0.0,7.99,2.31,38.3,Delivered,Standard Ground
ORD-2025-000230,9759,SES-2025-008808,20250825,449.97,0.0,0.0,37.12,487.09,Delivered,Free Standard
ORD-2025-000231,1842,SES-2025-008878,20251208,69.99,0.0,7.99,5.77,83.75,Delivered,Standard Ground
ORD-2025-000232,5441,SES-2025-008991,20250327,48.0,0.0,7.99,3.96,59.95,Delivered,Standard Ground
ORD-2025-000233,8693,SES-2025-009014,20251018,44.0,0.0,7.99,3.63,55.62,Delivered,Standard Ground
ORD-2025-000234,1492,SES-2025-009069,20250803,299.99,0.0,0.0,24.75,324.74,Delivered,Free Standard
ORD-2025-000235,8706,SES-2025-009089,20251123,145.0,0.0,0.0,11.96,156.96,Delivered,Free Standard
ORD-2025-000236,5866,SES-2025-009099,20250714,22.0,0.0,7.99,1.82,31.81,Delivered,Standard Ground
ORD-2025-000237,2536,SES-2025-009127,20251003,32.0,0.0,7.99,2.64,42.63,Delivered,Standard Ground
ORD-2025-000238,7742,SES-2025-009256,20250204,28.0,0.0,7.99,2.31,38.3,Delivered,Standard Ground
ORD-2025-000239,4433,SES-2025-009266,20250531,39.99,0.0,7.99,3.3,51.28,Delivered,Standard Ground
ORD-2025-000240,2902,SES-2025-009278,20250302,48.0,0.0,7.99,3.96,59.95,Delivered,Standard Ground
ORD-2025-000241,7978,SES-2025-009349,20250901,89.0,0.0,0.0,7.34,96.34,Delivered,Free Standard
