full_date,date_key,year,quarter,quarter_name,month,month_name,month_year,day_of_month,day_name,is_weekend,fiscal_quarter
2025-02-26,20250226,2025,1,Q1,2,February,Feb 2025,26,Wednesday,0,FQ1
2025-02-27,20250227,2025,1,Q1,2,February,Feb 2025,27,Thursday,0,FQ1
2025-02-28,20250228,2025,1,Q1,2,February,Feb 2025,28,Friday,0,FQ1
2025-03-01,20250301,2025,1,Q1,3,March,Mar 2025,1,Saturday,1,FQ1
2025-03-02,20250302,2025,1,Q1,3,March,Mar 2025,2,Sunday,1,FQ1
2025-03-03,20250303,2025,1,Q1,3,March,Mar 2025,3,Monday,0,FQ1
2025-03-04,20250304,2025,1,Q1,3,March,Mar 2025,4,Tuesday,0,FQ1
2025-03-05,20250305,2025,1,Q1,3,March,Mar 2025,5,Wednesday,0,FQ1
2025-03-06,20250306,2025,1,Q1,3,March,Mar 2025,6,Thursday,0,FQ1
2025-03-07,20250307,2025,1,Q1,3,March,Mar 2025,7,Friday,0,FQ1
2025-03-08,20250308,2025,1,Q1,3,March,Mar 2025,8,Saturday,1,FQ1
2025-03-09,20250309,2025,1,Q1,3,March,Mar 2025,9,Sunday,1,FQ1
2025-03-10,20250310,2025,1,Q1,3,March,Mar 2025,10,Monday,0,FQ1
2025-03-11,20250311,2025,1,Q1,3,March,Mar 2025,11,Tuesday,0,FQ1
2025-03-12,20250312,2025,1,Q1,3,March,Mar 2025,12,Wednesday,0,FQ1
2025-03-13,20250313,2025,1,Q1,3,March,Mar 2025,13,Thursday,0,FQ1
2025-03-14,20250314,2025,1,Q1,3,March,Mar 2025,14,Friday,0,FQ1
2025-03-15,20250315,2025,1,Q1,3,March,Mar 2025,15,Saturday,1,FQ1
2025-03-16,20250316,2025,1,Q1,3,March,Mar 2025,16,Sunday,1,FQ1
2025-03-17,20250317,2025,1,Q1,3,March,Mar 2025,17,Monday,0,FQ1
2025-03-18,20250318,2025,1,Q1,3,March,Mar 2025,18,Tuesday,0,FQ1
2025-03-19,20250319,2025,1,Q1,3,March,Mar 2025,19,Wednesday,0,FQ1
2025-03-20,20250320,2025,1,Q1,3,March,Mar 2025,20,Thursday,0,FQ1
2025-03-21,20250321,2025,1,Q1,3,March,Mar 2025,21,Friday,0,FQ1
2025-03-22,20250322,2025,1,Q1,3,March,Mar 2025,22,Saturday,1,FQ1
2025-03-23,20250323,2025,1,Q1,3,March,Mar 2025,23,Sunday,1,FQ1
2025-03-24,20250324,2025,1,Q1,3,March,Mar 2025,24,Monday,0,FQ1
2025-03-25,20250325,2025,1,Q1,3,March,Mar 2025,25,Tuesday,0,FQ1
2025-03-26,20250326,2025,1,Q1,3,March,Mar 2025,26,Wednesday,0,FQ1
2025-03-27,20250327,2025,1,Q1,3,March,Mar 2025,27,Thursday,0,FQ1
2025-03-28,20250328,2025,1,Q1,3,March,Mar 2025,28,Friday,0,FQ1
2025-03-29,20250329,2025,1,Q1,3,March,Mar 2025,29,Saturday,1,FQ1
2025-03-30,20250330,2025,1,Q1,3,March,Mar 2025,30,Sunday,1,FQ1
2025-03-31,20250331,2025,1,Q1,3,March,Mar 2025,31,Monday,0,FQ1
2025-04-01,20250401,2025,2,Q2,4,April,Apr 2025,1,Tuesday,0,FQ2
2025-04-02,20250402,2025,2,Q2,4,April,Apr 2025,2,Wednesday,0,FQ2
2025-04-03,20250403,2025,2,Q2,4,April,Apr 2025,3,Thursday,0,FQ2
2025-04-04,20250404,2025,2,Q2,4,April,Apr 2025,4,Friday,0,FQ2
2025-04-05,20250405,2025,2,Q2,4,April,Apr 2025,5,Saturday,1,FQ2
2025-04-06,20250406,2025,2,Q2,4,April,Apr 2025,6,Sunday,1,FQ2
2025-04-07,20250407,2025,2,Q2,4,April,Apr 2025,7,Monday,0,FQ2
2025-04-08,20250408,2025,2,Q2,4,April,Apr 2025,8,Tuesday,0,FQ2
2025-04-09,20250409,2025,2,Q2,4,April,Apr 2025,9,Wednesday,0,FQ2
2025-04-10,20250410,2025,2,Q2,4,April,Apr 2025,10,Thursday,0,FQ2
2025-04-11,20250411,2025,2,Q2,4,April,Apr 2025,11,Friday,0,FQ2
2025-04-12,20250412,2025,2,Q2,4,April,Apr 2025,12,Saturday,1,FQ2
2025-04-13,20250413,2025,2,Q2,4,April,Apr 2025,13,Sunday,1,FQ2
2025-04-14,20250414,2025,2,Q2,4,April,Apr 2025,14,Monday,0,FQ2
2025-04-15,20250415,2025,2,Q2,4,April,Apr 2025,15,Tuesday,0,FQ2
2025-04-16,20250416,2025,2,Q2,4,April,Apr 2025,16,Wednesday,0,FQ2
2025-04-17,20250417,2025,2,Q2,4,April,Apr 2025,17,Thursday,0,FQ2
2025-04-18,20250418,2025,2,Q2,4,April,Apr 2025,18,Friday,0,FQ2
2025-04-19,20250419,2025,2,Q2,4,April,Apr 2025,19,Saturday,1,FQ2
2025-04-20,20250420,2025,2,Q2,4,April,Apr 2025,20,Sunday,1,FQ2
2025-04-21,20250421,2025,2,Q2,4,April,Apr 2025,21,Monday,0,FQ2
2025-04-22,20250422,2025,2,Q2,4,April,Apr 2025,22,Tuesday,0,FQ2
2025-04-23,20250423,2025,2,Q2,4,April,Apr 2025,23,Wednesday,0,FQ2
2025-04-24,20250424,2025,2,Q2,4,April,Apr 2025,24,Thursday,0,FQ2
2025-04-25,20250425,2025,2,Q2,4,April,Apr 2025,25,Friday,0,FQ2
2025-04-26,20250426,2025,2,Q2,4,April,Apr 2025,26,Saturday,1,FQ2
2025-04-27,20250427,2025,2,Q2,4,April,Apr 2025,27,Sunday,1,FQ2
2025-04-28,20250428,2025,2,Q2,4,April,Apr 2025,28,Monday,0,FQ2
2025-04-29,20250429,2025,2,Q2,4,April,Apr 2025,29,Tuesday,0,FQ2
2025-04-30,20250430,2025,2,Q2,4,April,Apr 2025,30,Wednesday,0,FQ2
2025-05-01,20250501,2025,2,Q2,5,May,May 2025,1,Thursday,0,FQ2
2025-05-02,20250502,2025,2,Q2,5,May,May 2025,2,Friday,0,FQ2
2025-05-03,20250503,2025,2,Q2,5,May,May 2025,3,Saturday,1,FQ2
2025-05-04,20250504,2025,2,Q2,5,May,May 2025,4,Sunday,1,FQ2
2025-05-05,20250505,2025,2,Q2,5,May,May 2025,5,Monday,0,FQ2
2025-05-06,20250506,2025,2,Q2,5,May,May 2025,6,Tuesday,0,FQ2
2025-05-07,20250507,2025,2,Q2,5,May,May 2025,7,Wednesday,0,FQ2
2025-05-08,20250508,2025,2,Q2,5,May,May 2025,8,Thursday,0,FQ2
2025-05-09,20250509,2025,2,Q2,5,May,May 2025,9,Friday,0,FQ2
2025-05-10,20250510,2025,2,Q2,5,May,May 2025,10,Saturday,1,FQ2
2025-05-11,20250511,2025,2,Q2,5,May,May 2025,11,Sunday,1,FQ2
2025-05-12,20250512,2025,2,Q2,5,May,May 2025,12,Monday,0,FQ2
2025-05-13,20250513,2025,2,Q2,5,May,May 2025,13,Tuesday,0,FQ2
2025-05-14,20250514,2025,2,Q2,5,May,May 2025,14,Wednesday,0,FQ2
2025-05-15,20250515,2025,2,Q2,5,May,May 2025,15,Thursday,0,FQ2
2025-05-16,20250516,2025,2,Q2,5,May,May 2025,16,Friday,0,FQ2
2025-05-17,20250517,2025,2,Q2,5,May,May 2025,17,Saturday,1,FQ2
2025-05-18,20250518,2025,2,Q2,5,May,May 2025,18,Sunday,1,FQ2
2025-05-19,20250519,2025,2,Q2,5,May,May 2025,19,Monday,0,FQ2
2025-05-20,20250520,2025,2,Q2,5,May,May 2025,20,Tuesday,0,FQ2
2025-05-21,20250521,2025,2,Q2,5,May,May 2025,21,Wednesday,0,FQ2
2025-05-22,20250522,2025,2,Q2,5,May,May 2025,22,Thursday,0,FQ2
2025-05-23,20250523,2025,2,Q2,5,May,May 2025,23,Friday,0,FQ2
2025-05-24,20250524,2025,2,Q2,5,May,May 2025,24,Saturday,1,FQ2
2025-05-25,20250525,2025,2,Q2,5,May,May 2025,25,Sunday,1,FQ2
2025-05-26,20250526,2025,2,Q2,5,May,May 2025,26,Monday,0,FQ2
2025-05-27,20250527,2025,2,Q2,5,May,May 2025,27,Tuesday,0,FQ2
2025-05-28,20250528,2025,2,Q2,5,May,May 2025,28,Wednesday,0,FQ2
2025-05-29,20250529,2025,2,Q2,5,May,May 2025,29,Thursday,0,FQ2
2025-05-30,20250530,2025,2,Q2,5,May,May 2025,30,Friday,0,FQ2
2025-05-31,20250531,2025,2,Q2,5,May,May 2025,31,Saturday,1,FQ2
2025-06-01,20250601,2025,2,Q2,6,June,Jun 2025,1,Sunday,1,FQ2
2025-06-02,20250602,2025,2,Q2,6,June,Jun 2025,2,Monday,0,FQ2
2025-06-03,20250603,2025,2,Q2,6,June,Jun 2025,3,Tuesday,0,FQ2
2025-06-04,20250604,2025,2,Q2,6,June,Jun 2025,4,Wednesday,0,FQ2
2025-06-05,20250605,2025,2,Q2,6,June,Jun 2025,5,Thursday,0,FQ2
2025-06-06,20250606,2025,2,Q2,6,June,Jun 2025,6,Friday,0,FQ2
2025-06-07,20250607,2025,2,Q2,6,June,Jun 2025,7,Saturday,1,FQ2
2025-06-08,20250608,2025,2,Q2,6,June,Jun 2025,8,Sunday,1,FQ2
2025-06-09,20250609,2025,2,Q2,6,June,Jun 2025,9,Monday,0,FQ2
2025-06-10,20250610,2025,2,Q2,6,June,Jun 2025,10,Tuesday,0,FQ2
2025-06-11,20250611,2025,2,Q2,6,June,Jun 2025,11,Wednesday,0,FQ2
2025-06-12,20250612,2025,2,Q2,6,June,Jun 2025,12,Thursday,0,FQ2
2025-06-13,20250613,2025,2,Q2,6,June,Jun 2025,13,Friday,0,FQ2
2025-06-14,20250614,2025,2,Q2,6,June,Jun 2025,14,Saturday,1,FQ2
2025-06-15,20250615,2025,2,Q2,6,June,Jun 2025,15,Sunday,1,FQ2
2025-06-16,20250616,2025,2,Q2,6,June,Jun 2025,16,Monday,0,FQ2
2025-06-17,20250617,2025,2,Q2,6,June,Jun 2025,17,Tuesday,0,FQ2
2025-06-18,20250618,2025,2,Q2,6,June,Jun 2025,18,Wednesday,0,FQ2
2025-06-19,20250619,2025,2,Q2,6,June,Jun 2025,19,Thursday,0,FQ2
2025-06-20,20250620,2025,2,Q2,6,June,Jun 2025,20,Friday,0,FQ2
2025-06-21,20250621,2025,2,Q2,6,June,Jun 2025,21,Saturday,1,FQ2
2025-06-22,20250622,2025,2,Q2,6,June,Jun 2025,22,Sunday,1,FQ2
2025-06-23,20250623,2025,2,Q2,6,June,Jun 2025,23,Monday,0,FQ2
2025-06-24,20250624,2025,2,Q2,6,June,Jun 2025,24,Tuesday,0,FQ2
2025-06-25,20250625,2025,2,Q2,6,June,Jun 2025,25,Wednesday,0,FQ2
2025-06-26,20250626,2025,2,Q2,6,June,Jun 2025,26,Thursday,0,FQ2
2025-06-27,20250627,2025,2,Q2,6,June,Jun 2025,27,Friday,0,FQ2
2025-06-28,20250628,2025,2,Q2,6,June,Jun 2025,28,Saturday,1,FQ2
2025-06-29,20250629,2025,2,Q2,6,June,Jun 2025,29,Sunday,1,FQ2
2025-06-30,20250630,2025,2,Q2,6,June,Jun 2025,30,Monday,0,FQ2
2025-07-01,20250701,2025,3,Q3,7,July,Jul 2025,1,Tuesday,0,FQ3
2025-07-02,20250702,2025,3,Q3,7,July,Jul 2025,2,Wednesday,0,FQ3
2025-07-03,20250703,2025,3,Q3,7,July,Jul 2025,3,Thursday,0,FQ3
2025-07-04,20250704,2025,3,Q3,7,July,Jul 2025,4,Friday,0,FQ3
2025-07-05,20250705,2025,3,Q3,7,July,Jul 2025,5,Saturday,1,FQ3
2025-07-06,20250706,2025,3,Q3,7,July,Jul 2025,6,Sunday,1,FQ3
2025-07-07,20250707,2025,3,Q3,7,July,Jul 2025,7,Monday,0,FQ3
2025-07-08,20250708,2025,3,Q3,7,July,Jul 2025,8,Tuesday,0,FQ3
2025-07-09,20250709,2025,3,Q3,7,July,Jul 2025,9,Wednesday,0,FQ3
2025-07-10,20250710,2025,3,Q3,7,July,Jul 2025,10,Thursday,0,FQ3
2025-07-11,20250711,2025,3,Q3,7,July,Jul 2025,11,Friday,0,FQ3
2025-07-12,20250712,2025,3,Q3,7,July,Jul 2025,12,Saturday,1,FQ3
2025-07-13,20250713,2025,3,Q3,7,July,Jul 2025,13,Sunday,1,FQ3
2025-07-14,20250714,2025,3,Q3,7,July,Jul 2025,14,Monday,0,FQ3
2025-07-15,20250715,2025,3,Q3,7,July,Jul 2025,15,Tuesday,0,FQ3
2025-07-16,20250716,2025,3,Q3,7,July,Jul 2025,16,Wednesday,0,FQ3
2025-07-17,20250717,2025,3,Q3,7,July,Jul 2025,17,Thursday,0,FQ3
2025-07-18,20250718,2025,3,Q3,7,July,Jul 2025,18,Friday,0,FQ3
2025-07-19,20250719,2025,3,Q3,7,July,Jul 2025,19,Saturday,1,FQ3
2025-07-20,20250720,2025,3,Q3,7,July,Jul 2025,20,Sunday,1,FQ3
2025-07-21,20250721,2025,3,Q3,7,July,Jul 2025,21,Monday,0,FQ3
2025-07-22,20250722,2025,3,Q3,7,July,Jul 2025,22,Tuesday,0,FQ3
2025-07-23,20250723,2025,3,Q3,7,July,Jul 2025,23,Wednesday,0,FQ3
2025-07-24,20250724,2025,3,Q3,7,July,Jul 2025,24,Thursday,0,FQ3
2025-07-25,20250725,2025,3,Q3,7,July,Jul 2025,25,Friday,0,FQ3
2025-07-26,20250726,2025,3,Q3,7,July,Jul 2025,26,Saturday,1,FQ3
2025-07-27,20250727,2025,3,Q3,7,July,Jul 2025,27,Sunday,1,FQ3
2025-07-28,20250728,2025,3,Q3,7,July,Jul 2025,28,Monday,0,FQ3
2025-07-29,20250729,2025,3,Q3,7,July,Jul 2025,29,Tuesday,0,FQ3
2025-07-30,20250730,2025,3,Q3,7,July,Jul 2025,30,Wednesday,0,FQ3
2025-07-31,20250731,2025,3,Q3,7,July,Jul 2025,31,Thursday,0,FQ3
2025-08-01,20250801,2025,3,Q3,8,August,Aug 2025,1,Friday,0,FQ3
2025-08-02,20250802,2025,3,Q3,8,August,Aug 2025,2,Saturday,1,FQ3
2025-08-03,20250803,2025,3,Q3,8,August,Aug 2025,3,Sunday,1,FQ3
2025-08-04,20250804,2025,3,Q3,8,August,Aug 2025,4,Monday,0,FQ3
2025-08-05,20250805,2025,3,Q3,8,August,Aug 2025,5,Tuesday,0,FQ3
2025-08-06,20250806,2025,3,Q3,8,August,Aug 2025,6,Wednesday,0,FQ3
2025-08-07,20250807,2025,3,Q3,8,August,Aug 2025,7,Thursday,0,FQ3
2025-08-08,20250808,2025,3,Q3,8,August,Aug 2025,8,Friday,0,FQ3
2025-08-09,20250809,2025,3,Q3,8,August,Aug 2025,9,Saturday,1,FQ3
2025-08-10,20250810,2025,3,Q3,8,August,Aug 2025,10,Sunday,1,FQ3
2025-08-11,20250811,2025,3,Q3,8,August,Aug 2025,11,Monday,0,FQ3
2025-08-12,20250812,2025,3,Q3,8,August,Aug 2025,12,Tuesday,0,FQ3
2025-08-13,20250813,2025,3,Q3,8,August,Aug 2025,13,Wednesday,0,FQ3
2025-08-14,20250814,2025,3,Q3,8,August,Aug 2025,14,Thursday,0,FQ3
2025-08-15,20250815,2025,3,Q3,8,August,Aug 2025,15,Friday,0,FQ3
2025-08-16,20250816,2025,3,Q3,8,August,Aug 2025,16,Saturday,1,FQ3
2025-08-17,20250817,2025,3,Q3,8,August,Aug 2025,17,Sunday,1,FQ3
2025-08-18,20250818,2025,3,Q3,8,August,Aug 2025,18,Monday,0,FQ3
2025-08-19,20250819,2025,3,Q3,8,August,Aug 2025,19,Tuesday,0,FQ3
2025-08-20,20250820,2025,3,Q3,8,August,Aug 2025,20,Wednesday,0,FQ3
2025-08-21,20250821,2025,3,Q3,8,August,Aug 2025,21,Thursday,0,FQ3
2025-08-22,20250822,2025,3,Q3,8,August,Aug 2025,22,Friday,0,FQ3
2025-08-23,20250823,2025,3,Q3,8,August,Aug 2025,23,Saturday,1,FQ3
2025-08-24,20250824,2025,3,Q3,8,August,Aug 2025,24,Sunday,1,FQ3
2025-08-25,20250825,2025,3,Q3,8,August,Aug 2025,25,Monday,0,FQ3
2025-08-26,20250826,2025,3,Q3,8,August,Aug 2025,26,Tuesday,0,FQ3
2025-08-27,20250827,2025,3,Q3,8,August,Aug 2025,27,Wednesday,0,FQ3
2025-08-28,20250828,2025,3,Q3,8,August,Aug 2025,28,Thursday,0,FQ3
2025-08-29,20250829,2025,3,Q3,8,August,Aug 2025,29,Friday,0,FQ3
2025-08-30,20250830,2025,3,Q3,8,August,Aug 2025,30,Saturday,1,FQ3
2025-08-31,20250831,2025,3,Q3,8,August,Aug 2025,31,Sunday,1,FQ3
2025-09-01,20250901,2025,3,Q3,9,September,Sep 2025,1,Monday,0,FQ3
2025-09-02,20250902,2025,3,Q3,9,September,Sep 2025,2,Tuesday,0,FQ3
2025-09-03,20250903,2025,3,Q3,9,September,Sep 2025,3,Wednesday,0,FQ3
2025-09-04,20250904,2025,3,Q3,9,September,Sep 2025,4,Thursday,0,FQ3
2025-09-05,20250905,2025,3,Q3,9,September,Sep 2025,5,Friday,0,FQ3
2025-09-06,20250906,2025,3,Q3,9,September,Sep 2025,6,Saturday,1,FQ3
2025-09-07,20250907,2025,3,Q3,9,September,Sep 2025,7,Sunday,1,FQ3
2025-09-08,20250908,2025,3,Q3,9,September,Sep 2025,8,Monday,0,FQ3
2025-09-09,20250909,2025,3,Q3,9,September,Sep 2025,9,Tuesday,0,FQ3
2025-09-10,20250910,2025,3,Q3,9,September,Sep 2025,10,Wednesday,0,FQ3
2025-09-11,20250911,2025,3,Q3,9,September,Sep 2025,11,Thursday,0,FQ3
2025-09-12,20250912,2025,3,Q3,9,September,Sep 2025,12,Friday,0,FQ3
2025-09-13,20250913,2025,3,Q3,9,September,Sep 2025,13,Saturday,1,FQ3
2025-09-14,20250914,2025,3,Q3,9,September,Sep 2025,14,Sunday,1,FQ3
2025-09-15,20250915,2025,3,Q3,9,September,Sep 2025,15,Monday,0,FQ3
2025-09-16,20250916,2025,3,Q3,9,September,Sep 2025,16,Tuesday,0,FQ3
2025-09-17,20250917,2025,3,Q3,9,September,Sep 2025,17,Wednesday,0,FQ3
2025-09-18,20250918,2025,3,Q3,9,September,Sep 2025,18,Thursday,0,FQ3
2025-09-19,20250919,2025,3,Q3,9,September,Sep 2025,19,Friday,0,FQ3
2025-09-20,20250920,2025,3,Q3,9,September,Sep 2025,20,Saturday,1,FQ3
2025-09-21,20250921,2025,3,Q3,9,September,Sep 2025,21,Sunday,1,FQ3
2025-09-22,20250922,2025,3,Q3,9,September,Sep 2025,22,Monday,0,FQ3
2025-09-23,20250923,2025,3,Q3,9,September,Sep 2025,23,Tuesday,0,FQ3
2025-09-24,20250924,2025,3,Q3,9,September,Sep 2025,24,Wednesday,0,FQ3
2025-09-25,20250925,2025,3,Q3,9,September,Sep 2025,25,Thursday,0,FQ3
2025-09-26,20250926,2025,3,Q3,9,September,Sep 2025,26,Friday,0,FQ3
2025-09-27,20250927,2025,3,Q3,9,September,Sep 2025,27,Saturday,1,FQ3
2025-09-28,20250928,2025,3,Q3,9,September,Sep 2025,28,Sunday,1,FQ3
2025-09-29,20250929,2025,3,Q3,9,September,Sep 2025,29,Monday,0,FQ3
2025-09-30,20250930,2025,3,Q3,9,September,Sep 2025,30,Tuesday,0,FQ3
2025-10-01,20251001,2025,4,Q4,10,October,Oct 2025,1,Wednesday,0,FQ4
2025-10-02,20251002,2025,4,Q4,10,October,Oct 2025,2,Thursday,0,FQ4
2025-10-03,20251003,2025,4,Q4,10,October,Oct 2025,3,Friday,0,FQ4
2025-10-04,20251004,2025,4,Q4,10,October,Oct 2025,4,Saturday,1,FQ4
2025-10-05,20251005,2025,4,Q4,10,October,Oct 2025,5,Sunday,1,FQ4
2025-10-06,20251006,2025,4,Q4,10,October,Oct 2025,6,Monday,0,FQ4
2025-10-07,20251007,2025,4,Q4,10,October,Oct 2025,7,Tuesday,0,FQ4
2025-10-08,20251008,2025,4,Q4,10,October,Oct 2025,8,Wednesday,0,FQ4
2025-10-09,20251009,2025,4,Q4,10,October,Oct 2025,9,Thursday,0,FQ4
2025-10-10,20251010,2025,4,Q4,10,October,Oct 2025,10,Friday,0,FQ4
2025-10-11,20251011,2025,4,Q4,10,October,Oct 2025,11,Saturday,1,FQ4
2025-10-12,20251012,2025,4,Q4,10,October,Oct 2025,12,Sunday,1,FQ4
2025-10-13,20251013,2025,4,Q4,10,October,Oct 2025,13,Monday,0,FQ4
2025-10-14,20251014,2025,4,Q4,10,October,Oct 2025,14,Tuesday,0,FQ4
2025-10-15,20251015,2025,4,Q4,10,October,Oct 2025,15,Wednesday,0,FQ4
2025-10-16,20251016,2025,4,Q4,10,October,Oct 2025,16,Thursday,0,FQ4
2025-10-17,20251017,2025,4,Q4,10,October,Oct 2025,17,Friday,0,FQ4
2025-10-18,20251018,2025,4,Q4,10,October,Oct 2025,18,Saturday,1,FQ4
2025-10-19,20251019,2025,4,Q4,10,October,Oct 2025,19,Sunday,1,FQ4
2025-10-20,20251020,2025,4,Q4,10,October,Oct 2025,20,Monday,0,FQ4
2025-10-21,20251021,2025,4,Q4,10,October,Oct 2025,21,Tuesday,0,FQ4
2025-10-22,20251022,2025,4,Q4,10,October,Oct 2025,22,Wednesday,0,FQ4
2025-10-23,20251023,2025,4,Q4,10,October,Oct 2025,23,Thursday,0,FQ4
2025-10-24,20251024,2025,4,Q4,10,October,Oct 2025,24,Friday,0,FQ4
2025-10-25,20251025,2025,4,Q4,10,October,Oct 2025,25,Saturday,1,FQ4
2025-10-26,20251026,2025,4,Q4,10,October,Oct 2025,26,Sunday,1,FQ4
2025-10-27,20251027,2025,4,Q4,10,October,Oct 2025,27,Monday,0,FQ4
2025-10-28,20251028,2025,4,Q4,10,October,Oct 2025,28,Tuesday,0,FQ4
2025-10-29,20251029,2025,4,Q4,10,October,Oct 2025,29,Wednesday,0,FQ4
2025-10-30,20251030,2025,4,Q4,10,October,Oct 2025,30,Thursday,0,FQ4
2025-10-31,20251031,2025,4,Q4,10,October,Oct 2025,31,Friday,0,FQ4
2025-11-01,20251101,2025,4,Q4,11,November,Nov 2025,1,Saturday,1,FQ4
2025-11-02,20251102,2025,4,Q4,11,November,Nov 2025,2,Sunday,1,FQ4
2025-11-03,20251103,2025,4,Q4,11,November,Nov 2025,3,Monday,0,FQ4
2025-11-04,20251104,2025,4,Q4,11,November,Nov 2025,4,Tuesday,0,FQ4
2025-11-05,20251105,2025,4,Q4,11,November,Nov 2025,5,Wednesday,0,FQ4
2025-11-06,20251106,2025,4,Q4,11,November,Nov 2025,6,Thursday,0,FQ4
