payment_id,order_id,session_id,payment_method,amount,payment_status,error_code,payment_timestamp,date_key,payment_method_key
41,ORD-2025-000039,SES-2025-001851,Credit Card,85.52,Successful,,2025-09-09 16:14:26,20250909,1
42,ORD-2025-000040,SES-2025-001897,Credit Card,589.48,Successful,,2025-03-05 12:59:00,20250305,1
43,ORD-2025-000041,SES-2025-001938,PayPal,85.52,Successful,,2025-11-24 07:10:02,20251124,3
44,ORD-2025-000042,SES-2025-001942,PayPal,53.46,Successful,,2025-12-10 09:57:00,20251210,3
45,ORD-2025-000043,SES-2025-002141,PayPal,49.13,Successful,,2025-08-06 11:33:13,20250806,3
46,ORD-2025-000044,SES-2025-002157,Credit Card,59.95,Successful,,2025-12-31 04:19:45,20251231,1
47,ORD-2025-000045,SES-2025-002238,Apple Pay,44.8,Successful,,2025-12-29 14:31:16,20251229,4
48,ORD-2025-000046,SES-2025-002272,Apple Pay,173.18,Successful,,2025-09-11 14:08:47,20250911,4
49,ORD-2025-000047,SES-2025-002273,Credit Card,85.52,Successful,,2025-06-24 06:51:52,20250624,1
50,ORD-2025-000048,SES-2025-002320,Debit Card,53.46,Successful,,2025-07-06 11:50:32,20250706,2
51,ORD-2025-000049,SES-2025-002340,Apple Pay,220.83,Successful,,2025-12-30 14:23:58,20251230,4
52,ORD-2025-000050,SES-2025-002395,PayPal,77.27,Successful,,2025-05-21 03:47:01,20250521,3
53,ORD-2025-000051,SES-2025-002461,PayPal,156.96,Successful,,2025-01-17 15:20:04,20250117,3
54,ORD-2025-000052,SES-2025-002585,Buy Now Pay Later,85.52,Successful,,2025-07-01 17:41:28,20250701,5
55,ORD-2025-000053,SES-2025-002588,PayPal,102.84,Successful,,2025-03-07 03:52:26,20250307,3
56,ORD-2025-000054,SES-2025-002637,Debit Card,156.96,Successful,,2025-12-04 00:05:31,20251204,2
57,ORD-2025-000055,SES-2025-002669,PayPal,61.03,Successful,,2025-12-26 07:37:50,20251226,3
58,ORD-2025-000056,SES-2025-002670,Credit Card,33.97,Successful,,2025-12-28 00:51:06,20251228,1
59,ORD-2025-000057,SES-2025-002715,Credit Card,151.53,Successful,,2025-10-11 19:47:37,20251011,1
60,ORD-2025-000058,SES-2025-002762,PayPal,51.28,Successful,,2025-11-22 10:05:41,20251122,3
61,ORD-2025-000059,SES-2025-002811,Credit Card,39.43,Successful,,2025-01-25 19:26:32,20250125,1
62,,SES-2025-002903,Debit Card,79.99,Failed,DECLINED_BY_ISSUER,2025-10-29 08:38:32,20251029,2
63,ORD-2025-000060,SES-2025-002908,Credit Card,119.08,Successful,,2025-12-28 19:09:35,20251228,1
64,ORD-2025-000061,SES-2025-002914,PayPal,108.08,Successful,,2025-03-19 06:34:48,20250319,3
65,ORD-2025-000062,SES-2025-002928,Apple Pay,88.1,Successful,,2025-09-25 16:40:42,20250925,4
66,,SES-2025-003051,PayPal,32.0,Failed,DECLINED_BY_ISSUER,2025-06-25 20:11:20,20250625,3
67,ORD-2025-000063,SES-2025-003078,PayPal,53.46,Successful,,2025-01-03 04:53:56,20250103,3
68,ORD-2025-000064,SES-2025-003115,Credit Card,35.05,Successful,,2025-05-04 01:18:39,20250504,1
69,ORD-2025-000065,SES-2025-003117,Credit Card,171.04,Successful,,2025-08-02 19:28:15,20250802,1
70,ORD-2025-000066,SES-2025-003142,Buy Now Pay Later,85.52,Successful,,2025-12-27 15:42:35,20251227,5
71,ORD-2025-000067,SES-2025-003155,Credit Card,86.59,Successful,,2025-09-28 03:53:23,20250928,1
72,ORD-2025-000068,SES-2025-003158,PayPal,39.43,Successful,,2025-07-27 10:15:18,20250727,3
73,ORD-2025-000069,SES-2025-003159,Credit Card,81.6,Successful,,2025-09-28 06:33:43,20250928,1
74,ORD-2025-000070,SES-2025-003175,Credit Card,31.81,Successful,,2025-12-17 04:16:52,20251217,1
75,ORD-2025-000071,SES-2025-003235,Apple Pay,42.63,Successful,,2025-11-29 04:34:14,20251129,4
76,ORD-2025-000072,SES-2025-003251,Credit Card,59.08,Successful,,2025-12-09 05:39:41,20251209,1
77,ORD-2025-000073,SES-2025-003254,Debit Card,156.96,Successful,,2025-09-01 18:23:11,20250901,2
78,ORD-2025-000074,SES-2025-003264,PayPal,85.52,Successful,,2025-07-07 10:57:21,20250707,3
79,ORD-2025-000075,SES-2025-003325,Debit Card,83.75,Successful,,2025-07-08 22:27:16,20250708,2
80,ORD-2025-000076,SES-2025-003354,Credit Card,42.63,Successful,,2025-08-04 10:07:20,20250804,1
81,ORD-2025-000077,SES-2025-003356,Credit Card,88.1,Successful,,2025-06-18 06:55:33,20250618,1
82,ORD-2025-000078,SES-2025-003468,Debit Card,238.15,Successful,,2025-03-08 10:29:26,20250308,2
83,ORD-2025-000079,SES-2025-003559,Apple Pay,96.34,Successful,,2025-07-22 06:47:20,20250722,4
84,ORD-2025-000080,SES-2025-003564,Debit Card,97.41,Successful,,2025-03-04 02:11:59,20250304,2
85,ORD-2025-000081,SES-2025-003625,Credit Card,77.27,Successful,,2025-05-07 01:21:43,20250507,1
86,ORD-2025-000082,SES-2025-003632,Credit Card,42.63,Successful,,2025-08-28 20:50:37,20250828,1
87,ORD-2025-000083,SES-2025-003655,PayPal,86.59,Successful,,2025-11-13 04:49:08,20251113,3
88,ORD-2025-000084,SES-2025-003706,Buy Now Pay Later,38.3,Successful,,2025-09-11 05:30:20,20250911,5
89,ORD-2025-000085,SES-2025-003719,Debit Card,78.59,Successful,,2025-11-29 00:05:01,20251129,2
90,,SES-2025-003846,PayPal,222.0,Failed,DECLINED_BY_ISSUER,2025-07-30 21:41:13,20250730,3
91,ORD-2025-000086,SES-2025-003856,Credit Card,35.05,Successful,,2025-10-15 08:31:44,20251015,1
92,ORD-2025-000087,SES-2025-003904,Buy Now Pay Later,67.52,Successful,,2025-12-23 21:49:03,20251223,5
93,ORD-2025-000088,SES-2025-003920,Credit Card,156.96,Successful,,2025-12-05 02:12:24,20251205,1
94,ORD-2025-000089,SES-2025-004009,PayPal,92.01,Successful,,2025-12-17 03:52:59,20251217,3
95,ORD-2025-000090,SES-2025-004040,Buy Now Pay Later,147.22,Successful,,2025-11-03 06:30:23,20251103,5
96,ORD-2025-000091,SES-2025-004127,Credit Card,36.14,Successful,,2025-09-28 19:43:40,20250928,1
97,ORD-2025-000092,SES-2025-004141,Debit Card,86.59,Successful,,2025-09-18 17:07:41,20250918,2
98,ORD-2025-000093,SES-2025-004162,Debit Card,82.27,Successful,,2025-05-01 18:32:36,20250501,2
99,ORD-2025-000094,SES-2025-004216,Credit Card,85.52,Successful,,2025-03-24 09:56:12,20250324,1
100,ORD-2025-000095,SES-2025-004217,Credit Card,44.8,Successful,,2025-04-04 02:46:38,20250404,1
101,ORD-2025-000096,SES-2025-004258,Debit Card,68.61,Successful,,2025-10-25 04:54:11,20251025,2
102,ORD-2025-000097,SES-2025-004261,Buy Now Pay Later,173.18,Successful,,2025-12-09 18:52:16,20251209,5
103,ORD-2025-000098,SES-2025-004267,PayPal,35.05,Successful,,2025-11-21 11:37:30,20251121,3
104,ORD-2025-000099,SES-2025-004297,Credit Card,62.1,Successful,,2025-10-23 05:36:45,20251023,1
105,ORD-2025-000100,SES-2025-004302,Debit Card,77.27,Successful,,2025-10-17 19:17:49,20251017,2
106,ORD-2025-000101,SES-2025-004310,Credit Card,36.14,Successful,,2025-12-04 03:08:41,20251204,1
107,ORD-2025-000102,SES-2025-004315,Debit Card,81.19,Successful,,2025-09-05 13:04:07,20250905,2
108,ORD-2025-000103,SES-2025-004363,Credit Card,81.6,Successful,,2025-10-18 08:13:41,20251018,1
109,ORD-2025-000104,SES-2025-004412,Credit Card,324.73,Successful,,2025-05-11 08:40:41,20250511,1
110,ORD-2025-000105,SES-2025-004413,Debit Card,42.63,Successful,,2025-08-06 17:39:55,20250806,2
111,ORD-2025-000106,SES-2025-004424,Credit Card,96.34,Successful,,2025-08-02 03:12:51,20250802,1
112,ORD-2025-000107,SES-2025-004455,Buy Now Pay Later,62.1,Successful,,2025-12-17 10:33:26,20251217,5
113,ORD-2025-000108,SES-2025-004575,Credit Card,77.27,Successful,,2025-02-19 21:35:01,20250219,1
114,ORD-2025-000109,SES-2025-004578,Debit Card,97.41,Successful,,2025-02-11 09:14:31,20250211,2
115,,SES-2025-004635,Debit Card,85.0,Failed,DECLINED_BY_ISSUER,2025-12-24 17:23:05,20251224,2
116,ORD-2025-000110,SES-2025-004674,Credit Card,49.26,Successful,,2025-04-21 15:55:47,20250421,1
117,ORD-2025-000111,SES-2025-004712,PayPal,83.75,Successful,,2025-11-23 03:30:46,20251123,3
118,ORD-2025-000112,SES-2025-004715,Debit Card,42.63,Successful,,2025-04-15 17:15:54,20250415,2
119,ORD-2025-000113,SES-2025-004720,Buy Now Pay Later,78.59,Successful,,2025-09-16 16:38:23,20250916,5
120,ORD-2025-000114,SES-2025-004763,Apple Pay,44.8,Successful,,2025-10-25 07:36:00,20251025,4
121,ORD-2025-000115,SES-2025-004803,Credit Card,184.03,Successful,,2025-09-05 07:36:14,20250905,1
122,ORD-2025-000116,SES-2025-004844,PayPal,119.08,Successful,,2025-11-11 10:49:08,20251111,3
123,ORD-2025-000117,SES-2025-004845,Apple Pay,53.46,Successful,,2025-06-17 11:43:45,20250617,4
124,ORD-2025-000118,SES-2025-004871,Debit Card,85.52,Successful,,2025-01-29 04:09:24,20250129,2
125,ORD-2025-000119,SES-2025-004877,Apple Pay,90.93,Successful,,2025-03-26 20:40:33,20250326,4
126,ORD-2025-000120,SES-2025-004888,Debit Card,377.79,Successful,,2025-10-31 12:23:24,20251031,2
127,ORD-2025-000121,SES-2025-004916,Apple Pay,324.74,Successful,,2025-10-10 20:05:56,20251010,4
128,ORD-2025-000122,SES-2025-004991,Credit Card,55.62,Successful,,2025-12-26 10:16:18,20251226,1
129,ORD-2025-000123,SES-2025-004998,Debit Card,162.36,Successful,,2025-10-10 02:11:22,20251010,2
130,ORD-2025-000124,SES-2025-005010,Buy Now Pay Later,57.11,Successful,,2025-02-18 13:25:10,20250218,5
131,ORD-2025-000125,SES-2025-005016,Credit Card,32.55,Successful,,2025-09-19 02:54:33,20250919,1
132,ORD-2025-000126,SES-2025-005075,Credit Card,95.26,Successful,,2025-12-30 22:52:17,20251230,1
133,ORD-2025-000127,SES-2025-005085,Credit Card,36.14,Successful,,2025-03-29 04:12:03,20250329,1
134,ORD-2025-000128,SES-2025-005104,Buy Now Pay Later,86.59,Successful,,2025-05-06 15:49:25,20250506,5
135,ORD-2025-000129,SES-2025-005135,Debit Card,81.6,Successful,,2025-07-21 23:25:02,20250721,2
136,ORD-2025-000130,SES-2025-005183,Credit Card,55.62,Successful,,2025-12-23 14:15:48,20251223,1
137,ORD-2025-000131,SES-2025-005195,PayPal,83.75,Successful,,2025-03-10 12:33:58,20250310,3
138,ORD-2025-000132,SES-2025-005202,Apple Pay,55.62,Successful,,2025-03-24 16:57:00,20250324,4
139,ORD-2025-000133,SES-2025-005208,Debit Card,33.97,Successful,,2025-11-15 22:52:51,20251115,2
140,ORD-2025-000134,SES-2025-005219,Credit Card,86.59,Successful,,2025-11-05 22:58:10,20251105,1
141,ORD-2025-000135,SES-2025-005233,Apple Pay,129.87,Successful,,2025-11-04 13:48:20,20251104,4
142,ORD-2025-000136,SES-2025-005237,Apple Pay,324.74,Successful,,2025-11-18 09:54:57,20251118,4
143,ORD-2025-000137,SES-2025-005258,Credit Card,85.52,Successful,,2025-05-22 03:16:19,20250522,1
144,ORD-2025-000138,SES-2025-005276,Credit Card,83.75,Successful,,2025-10-07 22:41:52,20251007,1
145,ORD-2025-000139,SES-2025-005279,Credit Card,51.28,Successful,,2025-11-14 03:37:24,20251114,1
146,ORD-2025-000140,SES-2025-005281,PayPal,155.24,Successful,,2025-07-06 14:48:03,20250706,3
147,ORD-2025-000141,SES-2025-005288,Credit Card,88.1,Successful,,2025-12-16 13:54:08,20251216,1
148,ORD-2025-000142,SES-2025-005316,Credit Card,90.93,Successful,,2025-10-25 15:56:39,20251025,1
149,ORD-2025-000143,SES-2025-005466,Credit Card,53.46,Successful,,2025-12-26 16:17:10,20251226,1
150,ORD-2025-000144,SES-2025-005482,Credit Card,51.28,Successful,,2025-08-10 09:29:13,20250810,1
151,ORD-2025-000145,SES-2025-005491,PayPal,119.05,Successful,,2025-12-12 20:21:52,20251212,3
152,ORD-2025-000146,SES-2025-005528,Credit Card,49.13,Successful,,2025-08-30 18:56:49,20250830,1
153,ORD-2025-000147,SES-2025-005540,Credit Card,44.8,Successful,,2025-12-11 18:11:44,20251211,1
154,ORD-2025-000148,SES-2025-005557,PayPal,85.52,Successful,,2025-10-22 04:48:52,20251022,3
155,ORD-2025-000149,SES-2025-005601,Debit Card,171.04,Successful,,2025-12-05 13:55:51,20251205,2
156,ORD-2025-000150,SES-2025-005691,PayPal,55.62,Successful,,2025-09-12 06:46:33,20250912,3
157,ORD-2025-000151,SES-2025-005740,Credit Card,86.59,Successful,,2025-11-06 23:54:44,20251106,1
158,ORD-2025-000152,SES-2025-005752,Credit Card,86.59,Successful,,2025-06-04 08:01:41,20250604,1
159,ORD-2025-000153,SES-2025-005766,Credit Card,160.21,Successful,,2025-07-31 00:36:59,20250731,1
160,ORD-2025-000154,SES-2025-005768,Credit Card,162.36,Successful,,2025-10-05 10:20:34,20251005,1
161,ORD-2025-000155,SES-2025-005886,PayPal,35.05,Successful,,2025-07-19 12:45:22,20250719,3
162,ORD-2025-000156,SES-2025-006083,Credit Card,55.15,Successful,,2025-08-14 08:31:08,20250814,1
163,ORD-2025-000157,SES-2025-006164,Apple Pay,31.81,Successful,,2025-11-19 20:01:28,20251119,4
164,ORD-2025-000158,SES-2025-006184,Credit Card,51.28,Successful,,2025-05-26 15:05:00,20250526,1
165,ORD-2025-000159,SES-2025-006217,Credit Card,31.81,Successful,,2025-04-06 13:44:22,20250406,1
166,ORD-2025-000160,SES-2025-006238,Credit Card,85.52,Successful,,2025-05-21 13:24:38,20250521,1
167,ORD-2025-000161,SES-2025-006242,PayPal,85.52,Successful,,2025-05-24 08:18:42,20250524,3
168,ORD-2025-000162,SES-2025-006290,Credit Card,142.46,Successful,,2025-12-18 05:15:37,20251218,1
169,,SES-2025-006332,Buy Now Pay Later,26.0,Failed,CREDIT_THRESHOLD_EXCEEDED,2025-01-18 03:46:17,20250118,5
170,ORD-2025-000163,SES-2025-006393,Debit Card,59.95,Successful,,2025-08-13 03:33:25,20250813,2
171,ORD-2025-000164,SES-2025-006420,PayPal,76.75,Successful,,2025-10-06 07:16:48,20251006,3
172,ORD-2025-000165,SES-2025-006493,Credit Card,86.59,Successful,,2025-06-12 15:38:40,20250612,1
173,ORD-2025-000166,SES-2025-006494,PayPal,77.27,Successful,,2025-11-05 13:44:22,20251105,3
174,ORD-2025-000167,SES-2025-006499,Debit Card,31.81,Successful,,2025-11-24 07:32:09,20251124,2
175,ORD-2025-000168,SES-2025-006514,Credit Card,49.13,Successful,,2025-12-15 19:21:19,20251215,1
176,ORD-2025-000169,SES-2025-006521,PayPal,57.11,Successful,,2025-12-28 14:16:16,20251228,3
177,ORD-2025-000170,SES-2025-006556,Credit Card,29.61,Successful,,2025-05-04 05:34:20,20250504,1
178,ORD-2025-000171,SES-2025-006606,Credit Card,102.84,Successful,,2025-04-23 04:44:50,20250423,1
179,ORD-2025-000172,SES-2025-006706,Debit Card,159.13,Successful,,2025-10-05 01:31:34,20251005,2
180,ORD-2025-000173,SES-2025-006761,Debit Card,55.15,Successful,,2025-11-14 13:24:55,20251114,2
181,ORD-2025-000174,SES-2025-006783,PayPal,77.27,Successful,,2025-12-12 14:35:18,20251212,3
182,ORD-2025-000175,SES-2025-006794,Credit Card,35.5,Successful,,2025-11-29 03:03:09,20251129,1
183,,SES-2025-006806,Apple Pay,147.0,Failed,DECLINED_BY_ISSUER,2025-09-30 22:16:46,20250930,4
184,ORD-2025-000176,SES-2025-006810,Credit Card,53.46,Successful,,2025-02-21 23:20:14,20250221,1
185,,SES-2025-006856,PayPal,22.0,Failed,DECLINED_BY_ISSUER,2025-06-29 05:56:16,20250629,3
186,ORD-2025-000177,SES-2025-006865,PayPal,44.8,Successful,,2025-10-18 11:00:41,20251018,3
187,ORD-2025-000178,SES-2025-006890,Credit Card,88.1,Successful,,2025-12-12 04:32:42,20251212,1
188,ORD-2025-000179,SES-2025-006897,Credit Card,42.63,Successful,,2025-01-05 23:21:58,20250105,1
189,ORD-2025-000180,SES-2025-006916,PayPal,85.52,Successful,,2025-09-28 01:56:17,20250928,3
190,ORD-2025-000181,SES-2025-006919,Credit Card,123.41,Successful,,2025-12-14 07:13:44,20251214,1
191,ORD-2025-000182,SES-2025-006922,Debit Card,31.81,Successful,,2025-02-22 06:17:25,20250222,2
192,ORD-2025-000183,SES-2025-006923,Credit Card,61.03,Successful,,2025-06-03 20:41:10,20250603,1
193,ORD-2025-000184,SES-2025-006969,PayPal,59.95,Successful,,2025-08-08 07:19:35,20250808,3
194,ORD-2025-000185,SES-2025-006992,Buy Now Pay Later,96.34,Successful,,2025-04-15 04:06:52,20250415,5
195,ORD-2025-000186,SES-2025-007039,Credit Card,97.41,Successful,,2025-12-11 12:16:20,20251211,1
196,ORD-2025-000187,SES-2025-007110,Credit Card,67.52,Successful,,2025-12-30 17:55:06,20251230,1
197,ORD-2025-000188,SES-2025-007122,Apple Pay,83.75,Successful,,2025-12-29 21:08:57,20251229,4
198,ORD-2025-000189,SES-2025-007127,Credit Card,55.15,Successful,,2025-01-16 01:44:04,20250116,1
199,ORD-2025-000190,SES-2025-007139,Debit Card,49.13,Successful,,2025-09-07 06:49:27,20250907,2
200,,SES-2025-007248,Apple Pay,85.0,Failed,DECLINED_BY_ISSUER,2025-08-31 12:37:07,20250831,4
201,ORD-2025-000191,SES-2025-007254,Debit Card,56.13,Successful,,2025-11-23 23:55:25,20251123,2
202,ORD-2025-000192,SES-2025-007272,Credit Card,151.53,Successful,,2025-06-17 06:06:54,20250617,1
203,ORD-2025-000193,SES-2025-007296,Apple Pay,77.27,Successful,,2025-09-16 14:48:48,20250916,4
204,ORD-2025-000194,SES-2025-007310,Credit Card,102.84,Successful,,2025-12-12 21:15:20,20251212,1
205,ORD-2025-000195,SES-2025-007316,PayPal,90.93,Successful,,2025-11-12 15:10:55,20251112,3
206,ORD-2025-000196,SES-2025-007322,Debit Card,55.62,Successful,,2025-05-05 23:07:17,20250505,2
207,ORD-2025-000197,SES-2025-007403,Credit Card,324.74,Successful,,2025-05-12 15:50:46,20250512,1
208,ORD-2025-000198,SES-2025-007479,Debit Card,136.4,Successful,,2025-11-11 06:37:19,20251111,2
209,ORD-2025-000199,SES-2025-007492,Credit Card,55.15,Successful,,2025-12-28 13:30:18,20251228,1
210,ORD-2025-000200,SES-2025-007501,PayPal,38.3,Successful,,2025-12-24 11:38:30,20251224,3
211,ORD-2025-000201,SES-2025-007530,Credit Card,53.46,Successful,,2025-12-26 21:06:31,20251226,1
212,,SES-2025-007568,Debit Card,24.0,Failed,DECLINED_BY_ISSUER,2025-11-05 06:14:52,20251105,2
213,ORD-2025-000202,SES-2025-007695,PayPal,92.01,Successful,,2025-12-21 12:49:23,20251221,3
214,ORD-2025-000203,SES-2025-007752,Credit Card,33.97,Successful,,2025-09-06 18:01:01,20250906,1
215,ORD-2025-000204,SES-2025-007768,Credit Card,162.36,Successful,,2025-01-30 02:33:10,20250130,1
216,ORD-2025-000205,SES-2025-007774,Buy Now Pay Later,39.38,Successful,,2025-12-13 04:50:58,20251213,5
217,ORD-2025-000206,SES-2025-007791,Debit Card,81.6,Successful,,2025-07-28 23:09:33,20250728,2
218,ORD-2025-000207,SES-2025-007794,Credit Card,38.3,Successful,,2025-10-19 18:24:04,20251019,1
219,ORD-2025-000208,SES-2025-007854,Credit Card,289.03,Successful,,2025-12-08 23:45:23,20251208,1
220,ORD-2025-000209,SES-2025-007878,Apple Pay,49.26,Successful,,2025-12-18 11:21:42,20251218,4
221,ORD-2025-000210,SES-2025-007879,Credit Card,33.97,Successful,,2025-04-23 12:06:42,20250423,1
222,ORD-2025-000211,SES-2025-007905,Credit Card,184.03,Successful,,2025-06-06 12:39:41,20250606,1
223,ORD-2025-000212,SES-2025-007960,Credit Card,31.81,Successful,,2025-06-21 23:31:01,20250621,1
224,ORD-2025-000213,SES-2025-007974,Credit Card,72.84,Successful,,2025-06-28 13:27:56,20250628,1
225,ORD-2025-000214,SES-2025-008042,Debit Card,88.1,Successful,,2025-08-09 05:44:09,20250809,2
226,ORD-2025-000215,SES-2025-008181,PayPal,147.36,Successful,,2025-11-29 05:13:22,20251129,3
227,ORD-2025-000216,SES-2025-008225,Buy Now Pay Later,88.1,Successful,,2025-05-29 23:33:23,20250529,5
228,ORD-2025-000217,SES-2025-008259,Debit Card,82.27,Successful,,2025-04-23 10:28:22,20250423,2
229,ORD-2025-000218,SES-2025-008312,Credit Card,171.04,Successful,,2025-12-28 20:43:24,20251228,1
230,ORD-2025-000219,SES-2025-008326,Credit Card,92.01,Successful,,2025-09-15 18:47:04,20250915,1
231,ORD-2025-000220,SES-2025-008328,PayPal,38.3,Successful,,2025-08-01 10:17:29,20250801,3
232,ORD-2025-000221,SES-2025-008337,Credit Card,44.8,Successful,,2025-12-20 18:47:43,20251220,1
233,ORD-2025-000222,SES-2025-008347,Debit Card,61.03,Successful,,2025-12-15 06:29:34,20251215,2
234,ORD-2025-000223,SES-2025-008378,Buy Now Pay Later,81.6,Successful,,2025-11-07 10:27:00,20251107,5
235,ORD-2025-000224,SES-2025-008418,PayPal,33.97,Successful,,2025-10-10 10:32:29,20251010,3
236,ORD-2025-000225,SES-2025-008443,Credit Card,377.79,Successful,,2025-01-02 02:04:53,20250102,1
237,ORD-2025-000226,SES-2025-008530,Credit Card,67.52,Successful,,2025-12-24 20:43:20,20251224,1
238,ORD-2025-000227,SES-2025-008543,Buy Now Pay Later,36.14,Successful,,2025-09-14 15:21:00,20250914,5
239,ORD-2025-000228,SES-2025-008572,Debit Card,55.62,Successful,,2025-01-11 23:50:09,20250111,2
240,,SES-2025-008649,PayPal,44.0,Failed,DECLINED_BY_ISSUER,2025-06-26 10:05:34,20250626,3
241,ORD-2025-000229,SES-2025-008770,Debit Card,38.3,Successful,,2025-12-20 11:38:39,20251220,2
242,ORD-2025-000230,SES-2025-008808,PayPal,487.09,Successful,,2025-08-25 01:03:37,20250825,3
243,ORD-2025-000231,SES-2025-008878,PayPal,83.75,Successful,,2025-12-08 23:59:50,20251208,3
244,ORD-2025-000232,SES-2025-008991,Debit Card,59.95,Successful,,2025-03-27 11:11:21,20250327,2
245,ORD-2025-000233,SES-2025-009014,Credit Card,55.62,Successful,,2025-10-18 13:51:45,20251018,1
246,ORD-2025-000234,SES-2025-009069,PayPal,324.74,Successful,,2025-08-03 13:49:00,20250803,3
247,ORD-2025-000235,SES-2025-009089,Credit Card,156.96,Successful,,2025-11-23 01:04:15,20251123,1
248,ORD-2025-000236,SES-2025-009099,Apple Pay,31.81,Successful,,2025-07-14 17:56:57,20250714,4
249,ORD-2025-000237,SES-2025-009127,Debit Card,42.63,Successful,,2025-10-03 10:20:59,20251003,2
250,,SES-2025-009164,Debit Card,89.99,Failed,DECLINED_BY_ISSUER,2025-10-02 10:51:44,20251002,2
